MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.55,7,19,0.368,4,12,0.333,3,4,0.75,4,2,4,1,1,21
30.235,5,14,0.357,4,10,0.4,3,4,0.75,3,6,4,3,1,17
25.15,3,6,0.5,3,6,0.5,0,0,0.0,0,2,0,1,0,9
30.22833333333333,5,12,0.417,3,8,0.375,1,2,0.5,7,5,0,0,1,14
30.268333333333334,3,11,0.273,1,5,0.2,9,9,1.0,6,3,1,0,1,16
41.208333333333336,5,14,0.357,1,6,0.167,2,3,0.667,6,3,1,2,0,13
27.275,8,10,0.8,4,6,0.667,1,1,1.0,5,1,1,3,0,21
35.96666666666667,5,13,0.385,3,7,0.429,1,2,0.5,4,5,3,2,1,14
34.016666666666666,5,10,0.5,5,6,0.833,1,2,0.5,7,1,0,0,0,16
35.14833333333333,8,13,0.615,4,6,0.667,10,10,1.0,4,3,2,1,0,30
29.75,4,7,0.571,1,3,0.333,1,1,1.0,4,6,2,0,0,10
29.7,3,9,0.333,2,6,0.333,2,4,0.5,3,2,0,3,1,10
28.67,1,9,0.111,1,7,0.143,0,0,0.0,4,2,1,1,0,3
26.25,5,10,0.5,4,5,0.8,0,0,0.0,3,4,1,1,0,14
25.25,3,10,0.3,2,7,0.286,0,2,0.0,2,4,2,1,1,8
21.333333333333332,1,6,0.167,1,3,0.333,1,2,0.5,5,5,1,1,0,4
30.55,4,9,0.444,1,2,0.5,3,3,1.0,2,8,1,2,0,12
31.783333333333335,1,7,0.143,0,4,0.0,0,0,0.0,5,4,2,1,1,2
24.891666666666666,3,10,0.3,2,6,0.333,2,2,1.0,2,4,1,2,0,10
