MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.833333333333332,9,15,0.6,2,3,0.667,10,12,0.833,11,11,3,1,1,30
37.36666666666667,8,18,0.444,0,4,0.0,19,21,0.905,11,9,4,1,4,35
41.025,9,21,0.429,1,3,0.333,13,16,0.813,13,5,6,2,5,32
31.233333333333334,11,24,0.458,1,2,0.5,9,10,0.9,12,9,1,0,1,32
36.55,10,19,0.526,1,3,0.333,11,11,1.0,7,8,4,2,0,32
33.916666666666664,8,16,0.5,0,2,0.0,4,4,1.0,9,7,2,1,0,20
37.666666666666664,11,22,0.5,0,4,0.0,17,17,1.0,12,6,5,3,0,39
32.9,12,26,0.462,1,4,0.25,12,14,0.857,13,7,3,1,1,37
35.8,8,21,0.381,1,4,0.25,16,19,0.842,16,3,5,0,2,33
37.43333333333333,10,20,0.5,1,4,0.25,6,6,1.0,10,4,6,1,4,27
30.516666666666666,17,25,0.68,0,2,0.0,14,14,1.0,11,6,1,1,1,48
30.95,9,18,0.5,3,3,1.0,5,5,1.0,11,3,4,0,1,26
34.75,8,22,0.364,0,2,0.0,12,13,0.923,13,7,4,0,1,28
29.416666666666668,12,22,0.545,2,4,0.5,9,12,0.75,15,7,3,2,6,35
35.35,14,21,0.667,1,3,0.333,5,6,0.833,9,8,1,1,2,34
36.43333333333333,9,21,0.429,3,7,0.429,3,8,0.375,7,6,7,0,1,24
