MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.116666666666667,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,3
28.935,4,7,0.571,2,3,0.667,0,0,0.0,7,4,0,3,0,10
32.46666666666667,4,7,0.571,3,6,0.5,3,4,0.75,7,3,1,0,2,14
24.2,2,4,0.5,2,4,0.5,0,0,0.0,3,0,1,0,1,6
26.998333333333335,2,5,0.4,1,4,0.25,0,0,0.0,4,2,2,0,0,5
23.816666666666666,1,1,1.0,1,1,1.0,0,0,0.0,3,3,0,0,0,3
33.31666666666667,3,5,0.6,3,5,0.6,0,0,0.0,7,0,1,1,3,9
26.466666666666665,1,2,0.5,1,2,0.5,0,0,0.0,3,3,0,1,0,3
26.133333333333333,2,3,0.667,1,2,0.5,0,0,0.0,4,1,0,0,1,5
17.45,4,5,0.8,3,4,0.75,0,0,0.0,2,0,0,1,0,11
14.7,0,4,0.0,0,4,0.0,0,0,0.0,2,1,1,1,0,0
30.266666666666666,3,4,0.75,2,3,0.667,0,0,0.0,2,3,0,1,3,8
