MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
21.5,6,7,0.857,1,1,1.0,1,1,1.0,4,1,1,0,1,14
26.571666666666665,3,4,0.75,0,1,0.0,3,3,1.0,4,5,3,1,0,9
17.166666666666668,4,5,0.8,1,1,1.0,0,0,0.0,3,0,0,2,0,9
10.633333333333333,2,4,0.5,1,1,1.0,0,0,0.0,3,0,2,0,0,5
26.016666666666666,5,9,0.556,0,0,0.0,0,0,0.0,9,1,1,2,4,10
13.683333333333334,0,4,0.0,0,1,0.0,0,0,0.0,4,1,0,0,2,0
11.45,1,3,0.333,0,0,0.0,0,0,0.0,2,0,0,0,0,2
14.083333333333334,4,5,0.8,1,1,1.0,1,2,0.5,6,2,1,0,1,10
10.333333333333334,1,1,1.0,0,0,0.0,0,0,0.0,1,1,1,0,1,2
15.1,2,4,0.5,0,0,0.0,0,0,0.0,6,3,0,1,0,4
12.2,1,2,0.5,0,0,0.0,0,0,0.0,4,0,0,0,0,2
10.566666666666666,4,5,0.8,0,0,0.0,0,0,0.0,4,0,1,1,0,8
13.516666666666667,3,3,1.0,0,0,0.0,0,0,0.0,6,2,1,1,0,6
14.633333333333333,2,4,0.5,0,0,0.0,0,0,0.0,5,1,0,0,0,4
12.0,3,4,0.75,0,0,0.0,0,0,0.0,5,0,1,0,1,6
17.05,1,5,0.2,0,2,0.0,0,0,0.0,5,1,1,0,1,2
12.65,2,4,0.5,0,0,0.0,0,0,0.0,5,0,1,1,0,4
11.566666666666666,1,2,0.5,0,1,0.0,1,2,0.5,4,2,2,0,1,3
