MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.916666666666664,6,16,0.375,1,1,1.0,1,3,0.333,5,3,4,4,0,14
29.268333333333334,5,10,0.5,0,2,0.0,2,2,1.0,4,2,5,0,0,12
22.983333333333334,3,12,0.25,0,4,0.0,2,2,1.0,5,0,1,0,0,8
31.171666666666667,6,13,0.462,1,5,0.2,3,3,1.0,5,6,3,0,0,16
32.31666666666667,4,11,0.364,0,3,0.0,7,8,0.875,6,2,1,0,1,15
42.78333333333333,7,13,0.538,3,5,0.6,6,6,1.0,2,2,0,2,0,23
31.883333333333333,5,13,0.385,0,4,0.0,0,0,0.0,5,1,0,2,0,10
38.35,12,20,0.6,3,5,0.6,2,2,1.0,10,4,1,1,0,29
37.666666666666664,6,12,0.5,1,2,0.5,3,3,1.0,7,3,1,0,0,16
36.81666666666667,11,17,0.647,0,1,0.0,0,1,0.0,7,3,1,1,0,22
35.733333333333334,9,20,0.45,0,3,0.0,0,0,0.0,9,4,1,0,0,18
37.766666666666666,8,15,0.533,2,3,0.667,6,6,1.0,5,2,3,0,1,24
38.49,5,12,0.417,1,4,0.25,6,6,1.0,9,3,2,0,0,17
30.633333333333333,6,11,0.545,0,2,0.0,6,6,1.0,5,5,2,1,0,18
34.475,7,10,0.7,0,1,0.0,4,4,1.0,10,2,3,1,0,18
40.016666666666666,10,17,0.588,2,6,0.333,1,2,0.5,7,3,2,3,0,23
37.733333333333334,8,11,0.727,2,4,0.5,6,7,0.857,5,2,3,1,2,24
35.8,4,10,0.4,1,4,0.25,6,7,0.857,2,2,2,2,2,15
37.05,8,9,0.889,3,3,1.0,1,2,0.5,7,2,2,0,0,20
