MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.19,13,25,0.52,3,10,0.3,4,4,1.0,1,3,4,2,0,33
36.33166666666666,9,20,0.45,5,12,0.417,8,9,0.889,3,8,0,1,0,31
40.891666666666666,8,17,0.471,3,9,0.333,9,11,0.818,8,3,1,0,1,28
33.666666666666664,7,19,0.368,0,5,0.0,2,4,0.5,5,8,3,0,1,16
46.81166666666667,11,28,0.393,3,12,0.25,5,7,0.714,4,6,1,1,0,30
36.43,8,20,0.4,6,11,0.545,3,3,1.0,2,10,1,0,0,25
40.31166666666667,5,13,0.385,3,6,0.5,6,6,1.0,4,8,2,2,0,19
39.11833333333333,6,15,0.4,3,7,0.429,5,5,1.0,3,4,2,0,0,20
38.15,9,23,0.391,2,5,0.4,7,7,1.0,4,5,4,0,1,27
39.221666666666664,20,32,0.625,7,11,0.636,3,3,1.0,7,5,2,0,3,50
39.36333333333334,9,19,0.474,2,7,0.286,9,9,1.0,6,11,0,3,1,29
39.09,11,27,0.407,3,11,0.273,0,1,0.0,9,5,1,1,2,25
31.716666666666665,9,16,0.563,3,9,0.333,1,1,1.0,1,11,0,1,1,22
36.2,9,18,0.5,2,6,0.333,2,2,1.0,5,10,3,0,1,22
40.016666666666666,7,16,0.438,0,3,0.0,4,4,1.0,1,4,1,2,0,18
34.73,6,14,0.429,4,8,0.5,10,10,1.0,10,4,2,0,0,26
40.56666666666667,12,20,0.6,7,9,0.778,3,3,1.0,6,7,1,0,1,34
40.205,10,22,0.455,3,8,0.375,8,10,0.8,4,8,0,2,0,31
