MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.05,1,5,0.2,0,2,0.0,2,2,1.0,6,1,1,1,0,4
23.933333333333334,3,7,0.429,0,2,0.0,0,0,0.0,12,1,1,1,0,6
15.233333333333333,0,3,0.0,0,1,0.0,1,2,0.5,3,0,1,0,0,1
15.8,2,3,0.667,0,1,0.0,0,0,0.0,3,0,1,0,0,4
27.95,8,15,0.533,2,3,0.667,1,2,0.5,10,2,1,2,0,19
14.133333333333333,3,6,0.5,0,2,0.0,2,2,1.0,3,0,1,0,0,8
22.383333333333333,6,15,0.4,1,5,0.2,0,1,0.0,7,2,3,1,0,13
18.166666666666668,2,6,0.333,0,2,0.0,3,5,0.6,5,1,0,0,0,7
22.85,4,7,0.571,3,4,0.75,1,2,0.5,3,1,2,0,2,12
21.45,5,7,0.714,2,3,0.667,0,0,0.0,8,0,0,2,1,12
17.566666666666666,4,7,0.571,0,2,0.0,0,0,0.0,4,1,0,1,1,8
14.683333333333334,1,2,0.5,0,1,0.0,0,0,0.0,2,1,1,0,0,2
16.25,2,9,0.222,0,5,0.0,1,1,1.0,5,1,0,3,1,5
15.983333333333333,2,3,0.667,0,0,0.0,0,0,0.0,3,0,1,0,1,4
24.4,4,9,0.444,1,3,0.333,3,3,1.0,7,1,2,4,1,12
