MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.35,1,9,0.111,0,5,0.0,7,7,1.0,3,0,3,0,1,9
28.2,4,12,0.333,3,6,0.5,2,2,1.0,2,3,3,2,1,13
37.56666666666667,12,18,0.667,3,3,1.0,7,7,1.0,7,3,1,0,3,34
39.4,7,18,0.389,3,6,0.5,5,6,0.833,2,2,4,4,0,22
32.35,10,13,0.769,5,6,0.833,5,6,0.833,2,4,2,1,1,30
36.46666666666667,8,19,0.421,5,8,0.625,5,6,0.833,4,6,1,1,1,26
27.433333333333334,4,12,0.333,1,5,0.2,5,6,0.833,0,1,2,1,0,14
39.53333333333333,8,20,0.4,4,9,0.444,4,4,1.0,4,3,1,1,0,24
32.46666666666667,7,17,0.412,1,6,0.167,2,2,1.0,3,2,3,2,0,17
27.35,10,17,0.588,3,6,0.5,3,4,0.75,2,1,2,0,1,26
40.78333333333333,8,17,0.471,3,6,0.5,4,5,0.8,5,1,2,0,1,23
45.75,12,25,0.48,5,8,0.625,9,12,0.75,9,5,4,0,3,38
37.766666666666666,10,22,0.455,4,13,0.308,3,4,0.75,3,3,2,0,0,27
43.733333333333334,9,23,0.391,3,7,0.429,5,9,0.556,8,3,3,0,1,26
38.056666666666665,7,16,0.438,2,4,0.5,8,10,0.8,1,0,4,1,0,24
37.11666666666667,8,18,0.444,2,8,0.25,4,4,1.0,6,0,2,1,1,22
27.9,5,16,0.313,1,4,0.25,6,7,0.857,5,1,2,0,2,17
36.08,4,14,0.286,1,5,0.2,6,7,0.857,4,3,3,2,0,15
29.95,5,12,0.417,0,4,0.0,3,4,0.75,3,1,3,0,1,13
