MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.58166666666666,8,17,0.471,5,9,0.556,4,6,0.667,3,6,3,2,1,25
30.766666666666666,3,7,0.429,1,3,0.333,4,4,1.0,3,7,5,2,1,11
36.11666666666667,9,20,0.45,1,3,0.333,5,6,0.833,2,7,1,0,0,24
33.7,7,23,0.304,2,6,0.333,2,3,0.667,8,12,2,2,1,18
23.866666666666667,9,16,0.563,1,5,0.2,1,1,1.0,4,8,0,1,0,20
24.9,6,14,0.429,4,5,0.8,3,4,0.75,1,5,2,0,0,19
39.03333333333333,6,20,0.3,2,8,0.25,4,4,1.0,7,11,1,1,0,18
44.35,6,19,0.316,2,9,0.222,10,12,0.833,7,10,4,3,0,24
25.45,5,11,0.455,1,4,0.25,3,4,0.75,6,6,2,1,0,14
29.4,9,21,0.429,3,7,0.429,0,1,0.0,3,5,1,0,0,21
25.85,7,16,0.438,2,6,0.333,2,2,1.0,5,5,2,1,0,18
30.6,6,15,0.4,2,6,0.333,4,6,0.667,7,1,2,0,0,18
22.65,8,16,0.5,3,5,0.6,1,1,1.0,2,5,1,0,0,20
