MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
43.55166666666667,9,20,0.45,3,8,0.375,4,4,1.0,5,4,0,2,0,25
39.4,11,15,0.733,4,7,0.571,3,3,1.0,10,5,5,1,0,29
35.375,4,15,0.267,1,3,0.333,2,2,1.0,5,6,2,3,0,11
36.9,7,19,0.368,1,5,0.2,2,3,0.667,6,3,3,2,0,17
30.65,6,11,0.545,2,4,0.5,0,0,0.0,4,4,1,1,1,14
32.33,3,13,0.231,0,5,0.0,4,4,1.0,3,0,4,1,0,10
24.066666666666666,3,8,0.375,1,1,1.0,0,0,0.0,4,1,1,0,0,7
38.016666666666666,7,17,0.412,1,5,0.2,2,2,1.0,9,2,10,1,1,17
26.7,2,12,0.167,1,5,0.2,6,7,0.857,7,5,0,0,0,11
40.983333333333334,4,16,0.25,2,10,0.2,7,10,0.7,8,7,3,2,0,17
42.18333333333333,7,15,0.467,3,6,0.5,2,2,1.0,3,4,7,0,0,19
39.97833333333333,5,14,0.357,1,5,0.2,7,8,0.875,1,3,4,1,0,18
40.71666666666667,7,15,0.467,3,8,0.375,1,3,0.333,8,3,3,1,1,18
46.43333333333333,7,17,0.412,2,5,0.4,6,7,0.857,5,2,3,1,1,22
42.03333333333333,9,16,0.563,3,6,0.5,8,10,0.8,7,5,2,1,2,29
38.21666666666667,4,10,0.4,2,5,0.4,4,4,1.0,5,3,4,1,2,14
35.63333333333333,7,13,0.538,2,4,0.5,4,5,0.8,5,2,3,0,0,20
41.4,9,23,0.391,4,11,0.364,2,2,1.0,5,2,3,2,0,24
28.483333333333334,6,14,0.429,1,6,0.167,1,1,1.0,6,3,0,1,0,14
