MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
21.45,2,5,0.4,2,3,0.667,0,0,0.0,2,3,1,0,0,6
26.316666666666666,4,9,0.444,2,6,0.333,1,2,0.5,2,7,3,2,0,11
25.516666666666666,6,14,0.429,3,7,0.429,0,0,0.0,5,8,0,2,0,15
30.85,4,13,0.308,2,4,0.5,3,3,1.0,1,4,2,1,0,13
31.2,3,8,0.375,0,1,0.0,0,0,0.0,5,10,2,0,2,6
32.68333333333333,7,13,0.538,0,4,0.0,1,2,0.5,4,12,1,0,0,15
36.96666666666667,8,15,0.533,0,2,0.0,2,2,1.0,2,11,3,2,0,18
16.25,2,9,0.222,1,5,0.2,2,2,1.0,1,2,0,2,0,7
15.216666666666667,3,8,0.375,1,5,0.2,2,2,1.0,1,1,1,1,0,9
10.633333333333333,2,4,0.5,1,3,0.333,0,0,0.0,0,1,0,1,0,5
