MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.683333333333334,7,13,0.538,1,4,0.25,0,0,0.0,11,0,0,0,0,15
31.216666666666665,2,8,0.25,0,2,0.0,0,0,0.0,9,2,0,2,0,4
22.75,3,8,0.375,0,2,0.0,0,0,0.0,2,0,0,0,0,6
30.69,5,12,0.417,2,5,0.4,0,0,0.0,8,1,2,2,3,12
24.683333333333334,1,5,0.2,0,1,0.0,0,0,0.0,6,1,0,0,1,2
20.8,2,6,0.333,0,0,0.0,0,0,0.0,7,0,0,0,0,4
23.333333333333332,8,13,0.615,1,3,0.333,0,0,0.0,8,1,1,1,0,17
21.883333333333333,5,10,0.5,1,2,0.5,0,0,0.0,7,2,0,0,0,11
29.683333333333334,6,12,0.5,1,3,0.333,0,0,0.0,7,1,3,1,0,13
30.705,7,11,0.636,2,3,0.667,2,2,1.0,7,0,0,0,2,18
25.466666666666665,7,10,0.7,3,6,0.5,2,2,1.0,10,2,0,0,1,19
27.616666666666667,4,11,0.364,2,5,0.4,3,4,0.75,7,1,2,2,0,13
24.2,5,11,0.455,0,2,0.0,1,1,1.0,8,2,3,1,1,11
22.933333333333334,7,14,0.5,1,4,0.25,3,3,1.0,5,2,2,0,0,18
25.788333333333334,3,8,0.375,1,2,0.5,4,4,1.0,6,2,1,2,0,11
16.55,2,10,0.2,0,2,0.0,0,0,0.0,2,0,0,2,0,4
18.7,2,6,0.333,0,1,0.0,6,9,0.667,6,1,1,2,0,10
18.616666666666667,7,10,0.7,0,2,0.0,2,2,1.0,8,2,0,2,1,16
21.016666666666666,5,10,0.5,0,2,0.0,2,2,1.0,4,2,3,0,0,12
19.066666666666666,5,8,0.625,0,0,0.0,0,4,0.0,6,2,0,0,1,10
