MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.4,3,7,0.429,1,4,0.25,4,6,0.667,2,4,2,0,4,11
38.9,7,12,0.583,6,10,0.6,0,0,0.0,4,0,1,0,0,20
31.65,5,10,0.5,0,4,0.0,2,2,1.0,4,4,2,0,1,12
31.101666666666667,4,11,0.364,2,6,0.333,0,0,0.0,6,3,0,3,4,10
32.14666666666667,14,17,0.824,4,7,0.571,7,7,1.0,6,1,1,2,3,39
33.5,12,18,0.667,2,5,0.4,2,3,0.667,7,1,0,1,1,28
32.13333333333333,7,12,0.583,1,4,0.25,1,1,1.0,9,1,1,0,5,16
33.63333333333333,3,8,0.375,1,6,0.167,5,5,1.0,3,0,0,1,2,12
32.81666666666667,7,8,0.875,1,2,0.5,0,0,0.0,7,2,1,0,6,15
33.1,4,10,0.4,1,3,0.333,1,1,1.0,8,4,0,1,7,10
28.966666666666665,4,8,0.5,2,6,0.333,1,3,0.333,5,0,2,0,3,11
21.233333333333334,3,7,0.429,2,5,0.4,1,2,0.5,3,1,1,1,2,9
28.588333333333335,1,7,0.143,0,4,0.0,0,0,0.0,1,0,0,2,3,2
26.316666666666666,5,8,0.625,4,6,0.667,0,0,0.0,6,0,3,0,4,14
27.133333333333333,2,6,0.333,0,3,0.0,0,0,0.0,7,2,0,0,0,4
35.53333333333333,4,15,0.267,4,10,0.4,1,2,0.5,5,0,1,1,8,13
16.65,1,8,0.125,0,4,0.0,4,4,1.0,3,0,0,2,1,6
29.383333333333333,5,9,0.556,1,4,0.25,0,0,0.0,7,3,2,1,1,11
20.416666666666668,5,11,0.455,2,5,0.4,1,1,1.0,3,1,0,1,0,13
28.933333333333334,5,7,0.714,3,4,0.75,0,0,0.0,2,0,2,0,0,13
