MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.416666666666664,10,16,0.625,3,6,0.5,2,2,1.0,6,9,4,1,0,25
42.55,7,16,0.438,1,6,0.167,3,4,0.75,5,13,7,2,1,18
37.43333333333333,9,18,0.5,4,9,0.444,10,10,1.0,4,9,1,0,0,32
37.266666666666666,7,21,0.333,4,12,0.333,13,14,0.929,5,4,3,2,0,31
36.86666666666667,11,18,0.611,2,5,0.4,7,8,0.875,6,10,1,0,0,31
37.68333333333333,11,24,0.458,3,10,0.3,2,2,1.0,5,5,3,2,0,27
32.96666666666667,5,14,0.357,3,6,0.5,9,11,0.818,5,7,1,0,0,22
37.81666666666667,7,18,0.389,4,11,0.364,9,10,0.9,3,12,1,1,0,27
30.666666666666668,9,18,0.5,5,10,0.5,4,4,1.0,5,5,2,1,0,27
30.706666666666667,9,18,0.5,4,10,0.4,15,16,0.938,4,13,4,2,0,37
32.0,3,17,0.176,1,9,0.111,5,5,1.0,3,5,5,0,0,12
33.766666666666666,10,25,0.4,2,12,0.167,12,13,0.923,2,3,1,3,0,34
34.21666666666667,5,15,0.333,2,8,0.25,9,10,0.9,6,7,1,1,0,21
36.06666666666667,7,15,0.467,4,7,0.571,12,12,1.0,4,4,4,1,1,30
30.6,4,9,0.444,1,4,0.25,6,7,0.857,2,6,2,0,0,15
35.03333333333333,7,14,0.5,2,7,0.286,9,11,0.818,5,4,4,1,0,25
29.033333333333335,2,12,0.167,2,8,0.25,0,0,0.0,4,5,6,2,0,6
37.21666666666667,9,20,0.45,4,12,0.333,17,17,1.0,8,4,0,0,0,39
