MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.31666666666667,14,20,0.7,0,1,0.0,4,5,0.8,11,10,5,2,1,32
38.86666666666667,11,17,0.647,0,1,0.0,4,4,1.0,14,5,5,2,5,26
39.5,11,16,0.688,1,2,0.5,10,13,0.769,10,5,4,3,1,33
38.81666666666667,11,21,0.524,0,1,0.0,11,18,0.611,16,6,4,1,3,33
37.21666666666667,11,19,0.579,0,0,0.0,9,12,0.75,9,3,3,3,1,31
36.5,7,20,0.35,0,3,0.0,7,10,0.7,13,5,3,2,0,21
33.9,20,23,0.87,0,0,0.0,2,6,0.333,13,8,5,1,1,42
37.85,18,26,0.692,1,3,0.333,3,5,0.6,15,7,3,2,1,40
28.166666666666668,6,10,0.6,0,0,0.0,4,7,0.571,8,9,4,1,0,16
34.7,13,22,0.591,1,3,0.333,8,14,0.571,11,2,3,0,0,35
36.65,15,22,0.682,0,1,0.0,5,12,0.417,10,7,6,4,2,35
36.483333333333334,19,25,0.76,0,1,0.0,16,18,0.889,12,3,8,0,0,54
21.866666666666667,6,16,0.375,0,2,0.0,3,6,0.5,9,5,1,0,3,15
35.25,15,27,0.556,1,7,0.143,5,6,0.833,12,3,3,1,2,36
35.78333333333333,6,10,0.6,3,3,1.0,7,13,0.538,8,6,7,0,1,22
27.683333333333334,5,11,0.455,0,0,0.0,6,9,0.667,4,2,3,1,0,16
31.85,12,21,0.571,1,3,0.333,8,11,0.727,7,2,2,0,1,33
29.466666666666665,9,14,0.643,0,1,0.0,8,10,0.8,11,3,3,1,2,26
35.11666666666667,10,21,0.476,0,3,0.0,3,9,0.333,12,3,7,2,2,23
