MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.75,5,9,0.556,2,4,0.5,0,0,0.0,5,3,1,1,0,12
26.666666666666668,3,10,0.3,1,4,0.25,2,5,0.4,3,3,3,2,0,9
23.383333333333333,7,13,0.538,1,3,0.333,2,2,1.0,8,2,0,0,0,17
12.793333333333333,3,8,0.375,1,3,0.333,0,0,0.0,1,5,1,0,0,7
28.583333333333332,4,14,0.286,2,5,0.4,2,2,1.0,5,7,0,1,0,12
23.083333333333332,6,12,0.5,0,2,0.0,6,7,0.857,6,7,4,0,0,18
21.85,4,11,0.364,2,7,0.286,2,2,1.0,6,1,1,1,0,12
20.316666666666666,5,9,0.556,1,2,0.5,0,0,0.0,5,4,4,2,0,11
19.35,6,10,0.6,1,5,0.2,0,0,0.0,6,2,2,1,0,13
19.5,4,8,0.5,2,4,0.5,0,0,0.0,0,7,1,0,1,10
19.866666666666667,7,13,0.538,2,6,0.333,3,4,0.75,2,4,2,0,0,19
21.183333333333334,6,10,0.6,1,4,0.25,2,2,1.0,3,4,0,0,0,15
21.016666666666666,5,10,0.5,2,3,0.667,0,0,0.0,9,4,0,0,0,12
17.133333333333333,4,10,0.4,1,4,0.25,2,2,1.0,3,0,4,1,0,11
17.05,1,4,0.25,0,2,0.0,3,4,0.75,2,5,1,1,0,5
16.2,2,5,0.4,1,3,0.333,1,2,0.5,3,4,2,2,0,6
