MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
15.133333333333333,3,5,0.6,1,3,0.333,0,0,0.0,1,1,0,0,0,7
19.625,2,4,0.5,1,2,0.5,0,0,0.0,4,1,2,1,0,5
26.666666666666668,1,5,0.2,0,3,0.0,0,2,0.0,4,1,1,1,0,2
20.383333333333333,1,2,0.5,1,2,0.5,0,0,0.0,3,0,1,0,1,3
26.366666666666667,1,2,0.5,1,2,0.5,0,0,0.0,4,4,0,0,0,3
34.6,6,12,0.5,4,9,0.444,0,0,0.0,5,3,2,2,0,16
30.966666666666665,4,9,0.444,3,6,0.5,0,0,0.0,7,3,1,0,0,11
22.466666666666665,1,3,0.333,1,3,0.333,0,0,0.0,7,0,1,0,0,3
28.733333333333334,1,3,0.333,1,3,0.333,3,3,1.0,8,5,0,1,0,6
15.616666666666667,1,3,0.333,0,1,0.0,1,2,0.5,3,1,0,0,0,3
24.64,3,6,0.5,1,3,0.333,1,1,1.0,2,4,0,1,0,8
18.925,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,2
19.495,4,7,0.571,2,5,0.4,0,0,0.0,1,3,1,0,0,10
23.916666666666668,1,4,0.25,0,2,0.0,0,0,0.0,2,2,1,1,0,2
22.633333333333333,1,2,0.5,0,1,0.0,1,2,0.5,2,1,1,0,0,3
22.516666666666666,3,5,0.6,2,3,0.667,0,0,0.0,5,2,1,0,1,8
23.316666666666666,2,9,0.222,1,6,0.167,0,0,0.0,3,2,1,2,0,5
20.35,2,6,0.333,1,4,0.25,2,2,1.0,2,2,0,0,1,7
