MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.7,6,9,0.667,1,4,0.25,2,2,1.0,0,3,2,2,0,15
38.8,6,8,0.75,1,3,0.333,1,2,0.5,6,6,2,3,0,14
23.916666666666668,4,10,0.4,1,3,0.333,1,2,0.5,0,2,0,1,0,10
14.116666666666667,2,3,0.667,0,1,0.0,1,2,0.5,2,2,1,0,0,5
12.516666666666667,1,4,0.25,0,2,0.0,0,0,0.0,1,1,0,1,0,2
20.85,4,7,0.571,3,5,0.6,0,0,0.0,2,2,2,1,1,11
12.033333333333333,1,3,0.333,0,1,0.0,4,4,1.0,2,1,0,0,0,6
13.016666666666667,0,2,0.0,0,2,0.0,2,2,1.0,1,2,1,0,0,2
13.6,0,3,0.0,0,1,0.0,0,0,0.0,2,1,0,0,0,0
18.45,2,4,0.5,1,3,0.333,0,0,0.0,2,2,1,0,0,5
25.501666666666665,2,4,0.5,1,2,0.5,0,0,0.0,2,1,1,0,0,5
26.633333333333333,6,7,0.857,0,1,0.0,1,2,0.5,1,3,0,3,0,13
16.433333333333334,2,5,0.4,2,3,0.667,2,2,1.0,1,0,1,0,0,8
10.616666666666667,3,4,0.75,2,3,0.667,0,0,0.0,1,1,0,0,0,8
10.1,0,1,0.0,0,1,0.0,0,0,0.0,1,0,0,1,1,0
14.983333333333333,2,7,0.286,1,2,0.5,0,0,0.0,3,3,0,0,0,5
10.983333333333333,2,4,0.5,0,1,0.0,0,0,0.0,1,0,0,0,0,4
