MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
39.983333333333334,10,18,0.556,2,4,0.5,2,2,1.0,5,10,2,0,0,24
25.683333333333334,7,14,0.5,1,3,0.333,4,4,1.0,2,6,2,0,0,19
37.81666666666667,11,22,0.5,2,4,0.5,3,5,0.6,6,6,1,1,0,27
38.66,7,16,0.438,0,1,0.0,5,9,0.556,3,4,2,1,1,19
36.5,6,17,0.353,0,2,0.0,13,13,1.0,2,6,1,2,1,25
34.28333333333333,6,10,0.6,2,4,0.5,1,1,1.0,4,5,0,0,1,15
39.65,6,12,0.5,2,4,0.5,9,13,0.692,4,4,3,1,0,23
36.03333333333333,10,20,0.5,1,1,1.0,2,4,0.5,4,3,3,1,0,23
36.96666666666667,3,14,0.214,0,3,0.0,5,5,1.0,4,7,1,0,1,11
36.88333333333333,11,19,0.579,2,3,0.667,5,5,1.0,1,1,0,0,4,29
39.9,6,20,0.3,1,4,0.25,9,11,0.818,2,7,2,1,2,22
29.833333333333332,8,13,0.615,1,1,1.0,4,5,0.8,5,4,1,4,0,21
33.766666666666666,7,16,0.438,0,1,0.0,3,4,0.75,3,6,0,0,0,17
33.46666666666667,9,20,0.45,2,4,0.5,4,4,1.0,1,4,0,0,0,24
32.8,5,13,0.385,0,1,0.0,6,6,1.0,3,7,2,1,0,16
34.7,6,19,0.316,0,1,0.0,8,8,1.0,3,4,0,0,1,20
31.816666666666666,7,13,0.538,0,1,0.0,6,7,0.857,2,4,1,1,2,20
41.35,11,22,0.5,1,3,0.333,10,14,0.714,4,3,2,4,1,33
32.88333333333333,9,20,0.45,1,3,0.333,1,3,0.333,5,2,0,1,1,20
