MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.983333333333333,1,2,0.5,0,1,0.0,0,0,0.0,0,2,1,0,0,2
18.016666666666666,5,10,0.5,1,2,0.5,0,0,0.0,2,1,0,3,0,11
16.7,4,7,0.571,0,1,0.0,0,0,0.0,1,2,1,0,1,8
11.133333333333333,0,2,0.0,0,1,0.0,0,0,0.0,1,1,0,0,0,0
19.0,1,7,0.143,1,6,0.167,0,0,0.0,0,2,0,0,0,3
14.366666666666667,0,5,0.0,0,4,0.0,0,0,0.0,0,1,1,0,1,0
14.116666666666667,3,9,0.333,3,9,0.333,0,0,0.0,1,1,0,0,0,9
15.533333333333333,1,7,0.143,1,5,0.2,0,0,0.0,0,1,0,2,0,3
14.216666666666667,2,5,0.4,2,4,0.5,0,0,0.0,0,1,0,1,1,6
12.333333333333334,1,4,0.25,1,2,0.5,0,0,0.0,0,2,2,0,0,3
13.016666666666667,3,8,0.375,2,4,0.5,0,0,0.0,0,0,0,0,1,8
16.783333333333335,4,8,0.5,4,8,0.5,0,0,0.0,0,1,0,2,0,12
17.733333333333334,6,9,0.667,4,5,0.8,0,1,0.0,0,1,1,0,0,16
14.25,2,3,0.667,1,2,0.5,0,0,0.0,1,0,2,1,0,5
15.35,5,7,0.714,2,2,1.0,0,0,0.0,1,2,1,1,1,12
17.616666666666667,5,7,0.714,1,1,1.0,0,0,0.0,1,2,3,1,1,11
12.733333333333333,1,6,0.167,1,4,0.25,0,0,0.0,1,0,0,0,0,3
12.591666666666667,0,2,0.0,0,2,0.0,0,0,0.0,1,2,1,0,0,0
15.933333333333334,1,4,0.25,1,4,0.25,0,0,0.0,1,2,0,0,0,3
