MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.66166666666667,3,12,0.25,0,5,0.0,0,0,0.0,7,4,1,0,3,6
39.516666666666666,11,21,0.524,2,4,0.5,5,6,0.833,10,6,4,1,0,29
25.333333333333332,4,11,0.364,0,2,0.0,0,0,0.0,8,2,1,2,1,8
36.63333333333333,3,9,0.333,0,3,0.0,0,0,0.0,9,5,2,1,1,6
35.85,4,8,0.5,1,2,0.5,0,0,0.0,8,5,1,1,0,9
37.3,6,13,0.462,2,5,0.4,2,2,1.0,12,3,1,2,0,16
31.916666666666668,7,16,0.438,0,4,0.0,4,4,1.0,8,2,2,0,0,18
32.916666666666664,7,14,0.5,1,5,0.2,0,0,0.0,8,0,2,1,1,15
30.166666666666668,4,16,0.25,0,3,0.0,2,2,1.0,10,6,1,0,0,10
35.6,8,18,0.444,0,4,0.0,1,1,1.0,9,3,5,0,1,17
36.35,11,24,0.458,2,7,0.286,2,3,0.667,12,5,1,1,1,26
33.18333333333333,8,17,0.471,3,7,0.429,2,2,1.0,12,4,1,2,1,21
41.35,11,19,0.579,2,5,0.4,2,3,0.667,6,3,2,1,1,26
30.983333333333334,5,11,0.455,0,2,0.0,0,0,0.0,8,4,0,1,1,10
29.733333333333334,8,17,0.471,1,2,0.5,2,2,1.0,7,3,2,0,0,19
35.721666666666664,6,13,0.462,1,1,1.0,0,0,0.0,13,3,0,0,0,13
35.65,10,17,0.588,1,3,0.333,0,0,0.0,20,1,3,2,0,21
34.28333333333333,10,19,0.526,0,1,0.0,4,6,0.667,17,3,1,1,0,24
32.35,5,11,0.455,1,2,0.5,1,1,1.0,4,1,1,0,0,12
40.48,4,15,0.267,1,5,0.2,2,3,0.667,12,1,3,0,1,11
31.95,5,8,0.625,0,2,0.0,1,1,1.0,9,4,4,3,2,11
