MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.283333333333335,6,11,0.545,1,5,0.2,1,4,0.25,4,2,1,2,2,14
36.17166666666667,6,14,0.429,0,4,0.0,0,0,0.0,2,1,1,2,1,12
28.366666666666667,6,10,0.6,1,3,0.333,1,2,0.5,7,2,2,1,2,14
34.6,7,9,0.778,4,5,0.8,2,2,1.0,4,0,1,0,0,20
21.833333333333332,4,8,0.5,2,2,1.0,2,2,1.0,5,1,0,1,0,12
36.65,3,9,0.333,2,5,0.4,2,2,1.0,7,2,2,0,0,10
17.466666666666665,4,7,0.571,1,3,0.333,0,0,0.0,3,0,2,0,2,9
15.3,1,5,0.2,0,1,0.0,0,0,0.0,4,1,0,1,1,2
13.016666666666667,0,3,0.0,0,1,0.0,0,0,0.0,2,1,3,1,0,0
32.15,2,7,0.286,0,2,0.0,5,6,0.833,9,2,1,1,2,9
27.25,4,7,0.571,3,4,0.75,2,2,1.0,3,2,0,2,3,13
19.166666666666668,0,2,0.0,0,1,0.0,4,6,0.667,0,0,1,1,1,4
20.85,1,7,0.143,1,2,0.5,0,0,0.0,4,1,1,1,0,3
24.883333333333333,4,10,0.4,2,4,0.5,0,0,0.0,3,0,0,0,0,10
28.033333333333335,2,7,0.286,0,5,0.0,3,4,0.75,3,3,1,1,2,7
20.883333333333333,4,6,0.667,2,3,0.667,0,0,0.0,5,1,2,0,1,10
24.95,0,6,0.0,0,5,0.0,0,0,0.0,3,1,2,1,1,0
22.35,3,6,0.5,1,2,0.5,2,2,1.0,4,0,1,1,1,9
21.316666666666666,0,3,0.0,0,1,0.0,0,0,0.0,3,1,1,1,0,0
13.25,1,5,0.2,1,4,0.25,0,0,0.0,3,1,2,2,0,3
30.033333333333335,4,10,0.4,0,4,0.0,0,0,0.0,3,4,0,2,0,8
