MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.106666666666666,2,9,0.222,1,4,0.25,0,0,0.0,2,2,2,0,0,5
29.683333333333334,4,8,0.5,2,5,0.4,0,0,0.0,3,1,4,1,0,10
21.81833333333333,3,10,0.3,1,4,0.25,0,0,0.0,3,1,0,0,0,7
25.733333333333334,3,9,0.333,0,4,0.0,0,0,0.0,1,8,0,1,0,6
18.283333333333335,4,8,0.5,2,3,0.667,2,2,1.0,2,3,2,0,1,12
32.70166666666667,4,14,0.286,1,6,0.167,1,2,0.5,1,1,0,2,0,10
33.03333333333333,8,17,0.471,1,7,0.143,0,0,0.0,8,6,1,2,1,17
28.361666666666668,7,13,0.538,2,3,0.667,5,6,0.833,3,1,2,0,0,21
35.86666666666667,8,18,0.444,2,7,0.286,4,5,0.8,5,3,0,4,1,22
34.25,7,14,0.5,2,6,0.333,13,16,0.813,5,5,3,0,0,29
31.883333333333333,3,6,0.5,0,3,0.0,2,2,1.0,5,2,1,2,0,8
30.403333333333332,5,12,0.417,0,4,0.0,3,4,0.75,5,4,1,0,1,13
30.5,6,14,0.429,3,4,0.75,4,4,1.0,6,5,3,1,0,19
44.35,12,28,0.429,4,10,0.4,3,9,0.333,5,8,2,1,0,31
31.483333333333334,7,16,0.438,3,9,0.333,0,0,0.0,2,2,1,1,1,17
31.366666666666667,4,17,0.235,3,8,0.375,0,0,0.0,3,5,0,1,1,11
