MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
34.25833333333333,9,23,0.391,2,7,0.286,2,3,0.667,2,5,2,3,1,22
36.96666666666667,6,18,0.333,2,8,0.25,1,1,1.0,4,7,8,1,0,15
37.583333333333336,7,15,0.467,2,5,0.4,3,4,0.75,2,8,2,2,0,19
41.39833333333333,10,16,0.625,3,6,0.5,1,1,1.0,2,8,5,0,0,24
13.55,2,6,0.333,0,1,0.0,2,2,1.0,1,3,2,1,0,6
27.1,6,11,0.545,1,2,0.5,1,2,0.5,1,3,3,1,0,14
43.376666666666665,10,25,0.4,2,6,0.333,10,11,0.909,5,8,4,3,0,32
32.9,10,16,0.625,2,4,0.5,4,5,0.8,3,6,4,1,1,26
33.635,10,19,0.526,2,5,0.4,6,8,0.75,3,3,5,0,0,28
33.705,5,14,0.357,3,8,0.375,3,4,0.75,3,6,1,0,0,16
35.83166666666666,6,13,0.462,3,5,0.6,4,6,0.667,6,4,4,5,0,19
36.07,7,11,0.636,1,3,0.333,0,1,0.0,3,9,8,2,1,15
30.083333333333332,6,17,0.353,0,5,0.0,12,13,0.923,3,7,6,0,0,24
31.988333333333333,5,11,0.455,0,2,0.0,4,4,1.0,0,6,4,2,1,14
32.33166666666666,6,12,0.5,1,5,0.2,2,2,1.0,2,5,6,2,0,15
