MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.9,7,19,0.368,2,5,0.4,4,5,0.8,3,4,4,2,0,20
33.5,7,20,0.35,1,9,0.111,8,8,1.0,7,6,1,4,0,23
35.03666666666667,14,25,0.56,3,11,0.273,9,9,1.0,11,5,6,3,1,40
33.776666666666664,4,17,0.235,0,5,0.0,2,3,0.667,5,4,0,1,0,10
34.97666666666667,4,18,0.222,2,6,0.333,12,13,0.923,5,6,1,1,0,22
36.335,13,20,0.65,5,8,0.625,3,4,0.75,6,4,3,1,0,34
38.16166666666667,7,21,0.333,4,9,0.444,4,4,1.0,2,5,2,1,1,22
36.098333333333336,7,22,0.318,2,6,0.333,5,5,1.0,7,5,2,2,1,21
37.26166666666666,8,23,0.348,1,9,0.111,3,3,1.0,5,5,0,2,0,20
34.04333333333334,11,19,0.579,5,11,0.455,4,4,1.0,2,7,4,2,0,31
36.65,13,21,0.619,4,7,0.571,8,10,0.8,5,9,3,1,0,38
36.733333333333334,9,22,0.409,6,15,0.4,6,6,1.0,6,4,5,1,1,30
28.791666666666668,11,20,0.55,0,3,0.0,4,4,1.0,3,3,2,3,0,26
42.14,15,27,0.556,4,11,0.364,9,11,0.818,8,5,5,3,2,43
35.733333333333334,11,21,0.524,4,10,0.4,1,1,1.0,5,6,0,4,1,27
