MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.151666666666664,2,5,0.4,0,0,0.0,2,3,0.667,11,1,2,0,0,6
33.81666666666667,9,14,0.643,0,1,0.0,2,2,1.0,8,3,3,2,0,20
34.10666666666667,8,11,0.727,1,1,1.0,0,0,0.0,19,1,1,0,7,17
38.11666666666667,5,14,0.357,0,1,0.0,2,2,1.0,14,1,3,0,2,12
36.475,8,12,0.667,0,0,0.0,2,3,0.667,6,6,2,4,1,18
25.233333333333334,5,7,0.714,0,0,0.0,3,3,1.0,10,2,2,0,0,13
38.13333333333333,6,10,0.6,0,0,0.0,6,6,1.0,12,3,4,0,1,18
31.716666666666665,8,11,0.727,0,0,0.0,0,0,0.0,10,5,2,0,2,16
35.35166666666667,8,12,0.667,0,0,0.0,2,4,0.5,10,5,3,1,0,18
35.36666666666667,8,11,0.727,0,1,0.0,5,8,0.625,12,3,1,1,3,21
30.1,8,14,0.571,0,0,0.0,0,0,0.0,12,2,3,1,0,16
31.066666666666666,6,10,0.6,0,1,0.0,7,7,1.0,5,2,2,1,1,19
33.098333333333336,9,16,0.563,0,1,0.0,4,4,1.0,5,1,1,1,1,22
29.0,6,10,0.6,0,1,0.0,1,4,0.25,16,2,5,0,1,13
35.85,7,13,0.538,0,2,0.0,0,0,0.0,10,5,2,3,4,14
35.25,6,12,0.5,0,0,0.0,2,3,0.667,8,5,2,2,2,14
29.05,3,9,0.333,0,0,0.0,0,0,0.0,12,5,2,0,2,6
33.2,12,23,0.522,1,1,1.0,8,10,0.8,14,3,2,0,3,33
33.885,5,12,0.417,0,0,0.0,4,6,0.667,15,3,2,0,2,14
33.62833333333333,5,11,0.455,0,0,0.0,0,0,0.0,6,1,0,0,2,10
