MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.466666666666665,5,8,0.625,1,4,0.25,1,2,0.5,3,2,0,0,0,12
18.966666666666665,3,6,0.5,1,3,0.333,1,1,1.0,1,2,0,2,0,8
18.843333333333334,4,9,0.444,2,6,0.333,2,2,1.0,7,1,1,0,0,12
23.448333333333334,3,9,0.333,2,5,0.4,0,0,0.0,6,3,0,1,0,8
22.858333333333334,5,13,0.385,3,9,0.333,0,0,0.0,2,1,1,2,0,13
19.55,4,9,0.444,3,5,0.6,0,0,0.0,3,1,0,0,0,11
25.5,5,9,0.556,2,4,0.5,0,0,0.0,7,0,1,0,0,12
23.2,4,9,0.444,2,3,0.667,2,2,1.0,3,2,1,0,0,12
26.883333333333333,3,4,0.75,1,1,1.0,2,2,1.0,7,2,0,1,0,9
21.633333333333333,3,6,0.5,2,4,0.5,0,0,0.0,2,0,2,0,1,8
21.7,5,7,0.714,2,4,0.5,0,0,0.0,1,1,0,0,0,12
18.998333333333335,0,4,0.0,0,4,0.0,0,0,0.0,2,1,1,0,0,0
18.416666666666668,3,5,0.6,1,3,0.333,0,0,0.0,2,0,1,0,0,7
25.195,2,6,0.333,2,4,0.5,0,0,0.0,6,1,0,0,0,6
27.126666666666665,4,9,0.444,2,6,0.333,2,2,1.0,5,1,0,0,0,12
28.15,1,6,0.167,1,3,0.333,2,2,1.0,10,2,0,1,0,5
24.233333333333334,4,12,0.333,3,9,0.333,0,0,0.0,3,1,2,0,0,11
18.766666666666666,3,10,0.3,1,4,0.25,0,0,0.0,3,2,1,0,1,7
20.926666666666666,1,6,0.167,0,5,0.0,0,0,0.0,2,1,0,0,0,2
19.755,0,3,0.0,0,3,0.0,0,0,0.0,4,0,0,0,0,0
