MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.025,4,7,0.571,1,3,0.333,0,0,0.0,6,4,0,4,0,9
16.9,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,1,0,3
16.446666666666665,3,6,0.5,0,1,0.0,0,1,0.0,2,2,0,0,2,6
18.506666666666668,2,3,0.667,0,0,0.0,1,1,1.0,3,0,2,0,1,5
23.015,2,3,0.667,1,1,1.0,0,0,0.0,1,2,1,2,0,5
30.743333333333332,1,3,0.333,0,2,0.0,0,0,0.0,3,2,1,1,0,2
24.65,4,11,0.364,2,5,0.4,1,2,0.5,7,0,1,0,0,11
34.88333333333333,5,8,0.625,0,0,0.0,1,2,0.5,6,3,0,0,1,11
28.076666666666668,3,8,0.375,1,3,0.333,3,4,0.75,7,2,1,2,1,10
31.64666666666667,6,10,0.6,2,4,0.5,4,5,0.8,6,4,2,2,1,18
