MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.7,9,16,0.563,4,10,0.4,0,0,0.0,5,5,1,1,0,22
35.693333333333335,4,11,0.364,1,6,0.167,0,0,0.0,3,3,2,2,0,9
35.303333333333335,4,11,0.364,3,7,0.429,0,0,0.0,3,7,0,2,2,11
37.1,8,16,0.5,4,9,0.444,0,0,0.0,11,5,2,0,1,20
33.8,5,11,0.455,3,7,0.429,0,0,0.0,4,2,3,1,0,13
24.85,2,6,0.333,2,4,0.5,0,0,0.0,3,3,2,0,1,6
44.275,7,15,0.467,5,10,0.5,1,2,0.5,5,6,2,2,1,20
31.766666666666666,3,7,0.429,2,6,0.333,3,4,0.75,6,5,3,0,1,11
38.735,7,15,0.467,4,8,0.5,0,0,0.0,7,3,2,4,1,18
36.69833333333333,5,12,0.417,1,7,0.143,3,3,1.0,3,7,5,1,0,14
34.06166666666667,7,12,0.583,5,9,0.556,0,0,0.0,5,4,1,1,0,19
32.86666666666667,6,9,0.667,2,3,0.667,2,2,1.0,8,4,0,1,0,16
31.74,4,7,0.571,4,6,0.667,0,0,0.0,7,3,0,0,1,12
35.931666666666665,6,13,0.462,3,10,0.3,0,0,0.0,4,4,0,1,0,15
28.283333333333335,4,9,0.444,1,6,0.167,1,2,0.5,1,0,1,1,1,10
34.72,3,9,0.333,0,5,0.0,3,3,1.0,4,4,5,0,2,9
33.05,2,9,0.222,1,7,0.143,1,2,0.5,3,3,0,0,0,6
41.776666666666664,7,20,0.35,4,9,0.444,3,3,1.0,11,6,1,0,0,21
37.71666666666667,3,14,0.214,2,11,0.182,0,0,0.0,5,4,2,2,1,8
38.96666666666667,9,17,0.529,7,13,0.538,2,2,1.0,12,2,0,1,1,27
