MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.13333333333333,8,20,0.4,1,4,0.25,3,4,0.75,4,0,3,4,2,20
34.78333333333333,12,23,0.522,3,8,0.375,3,5,0.6,8,6,3,0,1,30
36.46666666666667,9,19,0.474,2,7,0.286,1,2,0.5,7,3,2,1,0,21
38.89833333333333,6,22,0.273,2,8,0.25,4,7,0.571,3,2,3,3,1,18
35.21666666666667,10,16,0.625,3,5,0.6,3,3,1.0,2,8,1,1,0,26
34.016666666666666,5,17,0.294,0,5,0.0,3,4,0.75,4,3,2,0,0,13
33.7,5,16,0.313,1,7,0.143,1,2,0.5,6,3,2,2,2,12
35.75,9,14,0.643,3,5,0.6,2,3,0.667,3,4,3,1,1,23
36.47,7,18,0.389,2,9,0.222,6,6,1.0,5,6,3,1,1,22
31.683333333333334,12,20,0.6,3,8,0.375,2,3,0.667,5,2,2,0,0,29
29.483333333333334,10,19,0.526,5,9,0.556,3,5,0.6,3,5,3,1,0,28
35.54666666666667,4,13,0.308,2,7,0.286,1,2,0.5,2,2,4,1,1,11
39.483333333333334,10,21,0.476,3,8,0.375,3,4,0.75,7,4,3,1,0,26
35.36666666666667,7,22,0.318,2,11,0.182,7,8,0.875,5,4,2,0,1,23
25.466666666666665,7,15,0.467,0,1,0.0,2,2,1.0,7,1,2,0,0,16
31.533333333333335,13,24,0.542,8,13,0.615,2,4,0.5,6,2,0,3,1,36
33.61666666666667,11,22,0.5,3,7,0.429,2,4,0.5,6,1,4,2,0,27
38.13333333333333,4,11,0.364,0,4,0.0,3,4,0.75,6,5,2,1,0,11
