MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
27.456666666666667,6,9,0.667,2,5,0.4,7,9,0.778,7,4,7,1,1,21
35.55,8,16,0.5,2,8,0.25,3,3,1.0,7,4,4,0,0,21
38.8,11,25,0.44,5,13,0.385,7,10,0.7,9,4,6,2,0,34
38.931666666666665,7,16,0.438,0,3,0.0,12,13,0.923,5,3,2,2,0,26
36.016666666666666,7,17,0.412,2,9,0.222,7,9,0.778,11,4,2,0,1,23
43.9,15,28,0.536,7,15,0.467,8,10,0.8,13,6,3,0,2,45
35.25,7,13,0.538,1,1,1.0,5,6,0.833,9,5,8,1,1,20
37.416666666666664,8,22,0.364,1,11,0.091,0,0,0.0,7,2,3,1,0,17
38.5,10,23,0.435,4,10,0.4,5,6,0.833,8,6,3,2,0,29
39.48,13,23,0.565,5,12,0.417,4,5,0.8,6,7,3,1,0,35
34.093333333333334,10,18,0.556,3,9,0.333,4,6,0.667,5,4,1,0,1,27
33.3,6,17,0.353,4,11,0.364,7,9,0.778,10,3,2,0,0,23
37.083333333333336,6,14,0.429,2,6,0.333,2,3,0.667,15,6,2,3,0,16
42.96666666666667,12,22,0.545,2,8,0.25,6,8,0.75,5,2,6,5,0,32
40.86666666666667,10,20,0.5,6,10,0.6,6,6,1.0,11,1,3,0,0,32
26.566666666666666,9,15,0.6,3,5,0.6,9,10,0.9,12,4,2,0,0,30
27.6,14,21,0.667,4,9,0.444,1,1,1.0,6,3,2,0,0,33
41.43333333333333,9,22,0.409,3,10,0.3,1,3,0.333,8,5,2,1,0,22
38.663333333333334,13,22,0.591,3,8,0.375,5,6,0.833,11,4,4,2,1,34
