MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
34.97666666666667,4,11,0.364,3,5,0.6,2,2,1.0,5,6,3,1,0,13
33.18333333333333,5,8,0.625,4,5,0.8,0,0,0.0,7,9,3,1,0,14
34.96666666666667,1,8,0.125,1,5,0.2,2,2,1.0,8,1,2,1,1,5
37.205,5,11,0.455,1,3,0.333,0,2,0.0,6,5,7,1,2,11
36.766666666666666,2,7,0.286,1,3,0.333,2,2,1.0,6,4,2,0,0,7
34.68333333333333,5,14,0.357,2,4,0.5,2,2,1.0,8,5,1,0,0,14
35.485,8,18,0.444,2,9,0.222,0,1,0.0,10,3,1,1,2,18
36.916666666666664,5,9,0.556,3,5,0.6,1,1,1.0,7,2,2,0,0,14
29.80666666666667,4,9,0.444,0,2,0.0,0,0,0.0,3,7,4,1,2,8
32.835,6,14,0.429,1,5,0.2,0,0,0.0,12,9,0,2,0,13
34.75333333333333,4,9,0.444,2,3,0.667,2,2,1.0,5,5,2,1,0,12
41.61333333333334,4,16,0.25,0,4,0.0,4,6,0.667,11,6,3,1,0,12
40.38166666666667,6,15,0.4,4,9,0.444,2,2,1.0,9,10,3,0,1,18
25.433333333333334,6,9,0.667,3,4,0.75,0,0,0.0,7,4,1,0,1,15
26.7,4,7,0.571,1,3,0.333,2,2,1.0,5,3,1,1,2,11
36.45,7,13,0.538,1,4,0.25,2,2,1.0,10,7,1,0,1,17
34.79,4,10,0.4,1,5,0.2,0,0,0.0,4,2,2,0,3,9
