MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.295,4,9,0.444,1,4,0.25,0,1,0.0,4,2,2,2,0,9
26.733333333333334,9,15,0.6,2,7,0.286,1,2,0.5,6,1,1,0,0,21
34.431666666666665,5,14,0.357,1,8,0.125,6,10,0.6,8,0,0,2,3,17
33.53333333333333,9,13,0.692,0,3,0.0,8,9,0.889,8,1,2,1,6,26
34.89833333333333,6,13,0.462,0,3,0.0,2,2,1.0,12,5,2,1,3,14
33.42,7,11,0.636,3,6,0.5,4,4,1.0,6,3,1,0,1,21
27.54,9,14,0.643,3,7,0.429,0,1,0.0,7,3,3,0,0,21
24.68166666666667,2,4,0.5,0,2,0.0,5,5,1.0,2,2,0,0,1,9
31.066666666666666,10,19,0.526,2,6,0.333,7,8,0.875,6,3,0,0,1,29
35.666666666666664,5,14,0.357,2,6,0.333,8,10,0.8,5,1,1,1,1,20
30.156666666666666,8,10,0.8,1,2,0.5,5,8,0.625,7,1,1,0,3,22
27.125,3,7,0.429,1,3,0.333,6,6,1.0,6,2,2,0,0,13
23.866666666666667,7,9,0.778,1,2,0.5,0,0,0.0,6,3,2,0,1,15
30.225,6,12,0.5,2,6,0.333,3,4,0.75,9,1,1,3,1,17
37.895,8,15,0.533,5,9,0.556,9,10,0.9,8,0,1,0,4,30
