MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
23.351666666666667,3,7,0.429,2,6,0.333,2,2,1.0,2,5,0,1,0,10
22.833333333333332,4,10,0.4,3,7,0.429,0,0,0.0,5,2,0,1,0,11
19.901666666666667,2,6,0.333,2,6,0.333,0,0,0.0,2,0,0,0,0,6
13.116666666666667,1,2,0.5,0,0,0.0,0,0,0.0,1,2,1,0,0,2
21.383333333333333,4,7,0.571,2,4,0.5,0,0,0.0,2,1,2,0,0,10
33.02333333333333,8,14,0.571,5,8,0.625,0,0,0.0,6,3,0,2,0,21
15.216666666666667,2,5,0.4,1,2,0.5,2,4,0.5,3,1,1,0,0,7
17.45,2,7,0.286,1,5,0.2,0,0,0.0,3,3,0,1,0,5
23.25,2,5,0.4,1,3,0.333,0,0,0.0,2,3,0,0,0,5
19.376666666666665,2,3,0.667,1,1,1.0,0,0,0.0,3,3,0,0,0,5
24.51,2,5,0.4,1,3,0.333,2,2,1.0,6,4,1,0,0,7
30.481666666666666,5,10,0.5,2,7,0.286,1,2,0.5,5,3,0,1,0,13
16.016666666666666,0,4,0.0,0,2,0.0,0,0,0.0,2,4,1,0,0,0
20.366666666666667,0,3,0.0,0,1,0.0,0,0,0.0,6,3,0,0,0,0
19.183333333333334,0,4,0.0,0,4,0.0,0,0,0.0,0,2,1,0,0,0
26.25,6,10,0.6,2,3,0.667,1,1,1.0,4,9,0,0,0,15
25.05,0,8,0.0,0,6,0.0,0,0,0.0,7,6,4,1,0,0
12.966666666666667,1,1,1.0,1,1,1.0,0,0,0.0,0,1,0,0,0,3
11.033333333333333,1,4,0.25,0,3,0.0,2,2,1.0,1,1,0,0,0,4
