MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.025,7,14,0.5,2,7,0.286,5,5,1.0,5,9,1,1,0,21
37.22666666666667,6,13,0.462,5,10,0.5,1,2,0.5,3,7,1,1,0,18
38.61666666666667,8,14,0.571,5,8,0.625,5,5,1.0,3,6,2,5,0,26
36.475,3,7,0.429,3,5,0.6,2,2,1.0,2,4,3,1,0,11
28.283333333333335,2,8,0.25,2,6,0.333,2,2,1.0,4,7,2,1,2,8
37.25,2,8,0.25,1,6,0.167,3,6,0.5,5,10,3,4,1,8
35.78333333333333,3,7,0.429,2,4,0.5,8,12,0.667,6,9,4,1,1,16
28.065,4,12,0.333,2,8,0.25,3,3,1.0,3,10,0,2,0,13
34.38,8,11,0.727,2,4,0.5,6,7,0.857,9,7,3,0,1,24
35.461666666666666,7,15,0.467,3,8,0.375,4,4,1.0,2,4,1,0,0,21
28.663333333333334,4,12,0.333,1,7,0.143,2,2,1.0,4,3,1,1,1,11
29.148333333333333,3,6,0.5,2,3,0.667,6,6,1.0,5,3,2,2,0,14
35.95,4,9,0.444,2,5,0.4,2,2,1.0,8,5,5,2,0,12
31.366666666666667,6,9,0.667,2,4,0.5,3,3,1.0,3,6,2,1,0,17
