MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.75,9,16,0.563,2,5,0.4,0,0,0.0,8,7,3,1,0,20
35.31,9,17,0.529,2,2,1.0,3,4,0.75,7,0,0,2,0,23
36.766666666666666,14,18,0.778,2,3,0.667,4,6,0.667,9,3,0,1,2,34
39.0,10,26,0.385,2,5,0.4,9,9,1.0,8,3,2,1,2,31
29.233333333333334,2,12,0.167,0,5,0.0,4,4,1.0,6,3,2,0,2,8
34.233333333333334,8,17,0.471,1,7,0.143,3,4,0.75,8,3,1,1,1,20
35.78333333333333,10,17,0.588,2,6,0.333,4,4,1.0,4,4,1,2,0,26
28.065,8,17,0.471,2,6,0.333,3,3,1.0,4,3,0,1,1,21
36.833333333333336,8,16,0.5,3,6,0.5,7,8,0.875,8,2,3,5,1,26
37.88333333333333,5,14,0.357,2,3,0.667,3,4,0.75,2,2,3,5,0,15
36.846666666666664,6,16,0.375,1,4,0.25,1,2,0.5,5,3,0,1,2,14
29.085,8,15,0.533,2,4,0.5,8,8,1.0,3,4,2,0,0,26
35.93333333333333,7,16,0.438,1,6,0.167,2,2,1.0,6,2,1,2,1,17
31.566666666666666,8,16,0.5,2,6,0.333,0,0,0.0,5,3,0,0,0,18
41.483333333333334,15,28,0.536,5,11,0.455,3,6,0.5,6,5,2,2,0,38
32.983333333333334,3,11,0.273,0,3,0.0,2,2,1.0,8,3,1,2,0,8
27.8,6,13,0.462,3,7,0.429,6,7,0.857,3,4,3,2,0,21
36.75,10,22,0.455,4,10,0.4,1,3,0.333,9,5,1,2,0,25
28.716666666666665,9,17,0.529,5,5,1.0,0,0,0.0,5,6,4,1,1,23
