MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.55,5,12,0.417,2,5,0.4,0,0,0.0,1,0,2,0,0,12
17.7,1,2,0.5,0,0,0.0,3,3,1.0,0,0,2,1,0,5
13.096666666666666,1,6,0.167,1,2,0.5,0,0,0.0,1,0,0,0,0,3
21.2,2,8,0.25,1,5,0.2,5,5,1.0,2,1,0,1,1,10
24.501666666666665,4,4,1.0,3,3,1.0,4,4,1.0,3,1,1,0,0,15
27.676666666666666,8,14,0.571,3,5,0.6,1,1,1.0,1,0,0,3,0,20
13.65,2,4,0.5,1,1,1.0,0,1,0.0,1,0,2,0,1,5
29.733333333333334,5,12,0.417,2,6,0.333,7,7,1.0,5,0,1,2,1,19
29.9,3,11,0.273,2,5,0.4,2,2,1.0,3,3,0,1,1,10
25.96,4,7,0.571,2,3,0.667,4,5,0.8,1,1,0,0,0,14
31.185,7,13,0.538,4,7,0.571,2,6,0.333,2,3,0,0,0,20
11.136666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0,2,0,0,0
22.483333333333334,4,8,0.5,2,5,0.4,0,0,0.0,1,1,1,2,2,10
22.35,5,7,0.714,4,6,0.667,0,0,0.0,1,0,3,0,1,14
35.00666666666667,6,14,0.429,0,4,0.0,0,0,0.0,2,3,0,0,1,12
28.933333333333334,5,8,0.625,2,5,0.4,5,7,0.714,3,3,3,0,0,17
19.1,5,11,0.455,2,5,0.4,1,2,0.5,3,1,0,2,1,13
25.263333333333332,7,10,0.7,2,4,0.5,4,4,1.0,3,1,1,1,0,20
22.9,2,6,0.333,2,5,0.4,2,2,1.0,3,1,2,0,0,8
