MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.083333333333336,8,17,0.471,4,8,0.5,5,5,1.0,6,6,1,1,0,25
37.33,6,18,0.333,3,10,0.3,0,0,0.0,1,10,1,0,0,15
39.86,7,18,0.389,4,9,0.444,1,2,0.5,3,7,1,0,0,19
36.748333333333335,2,13,0.154,0,4,0.0,2,2,1.0,8,4,3,1,1,6
36.315,9,19,0.474,2,5,0.4,5,5,1.0,9,4,1,0,0,25
38.63333333333333,14,30,0.467,4,12,0.333,2,3,0.667,8,2,2,0,0,34
36.03333333333333,8,23,0.348,4,12,0.333,4,4,1.0,8,3,2,2,0,24
31.866666666666667,11,16,0.688,4,8,0.5,2,2,1.0,5,6,2,1,0,28
40.1,8,22,0.364,4,10,0.4,3,3,1.0,8,3,3,2,1,23
40.3,13,26,0.5,4,11,0.364,5,5,1.0,7,3,1,3,0,35
37.47,8,16,0.5,3,7,0.429,7,9,0.778,7,7,7,2,0,26
22.631666666666668,3,12,0.25,1,7,0.143,1,1,1.0,3,2,2,1,0,8
39.1,7,20,0.35,2,10,0.2,8,8,1.0,7,1,3,3,1,24
34.36666666666667,2,11,0.182,1,6,0.167,5,5,1.0,7,3,4,3,0,10
36.843333333333334,11,16,0.688,6,9,0.667,7,8,0.875,6,1,3,2,0,35
32.75,8,17,0.471,6,9,0.667,5,6,0.833,7,7,3,2,0,27
27.8,8,17,0.471,2,7,0.286,1,1,1.0,4,5,1,5,0,19
37.73,9,17,0.529,3,9,0.333,15,15,1.0,4,1,2,0,0,36
31.625,11,17,0.647,4,7,0.571,1,1,1.0,3,6,4,3,0,27
