MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.065,1,6,0.167,1,5,0.2,0,0,0.0,2,2,0,1,0,3
33.96666666666667,4,10,0.4,1,4,0.25,0,0,0.0,5,1,2,1,0,9
31.32,8,12,0.667,1,3,0.333,1,1,1.0,3,1,0,0,0,18
29.541666666666668,2,3,0.667,0,1,0.0,1,2,0.5,3,0,1,0,1,5
31.7,7,14,0.5,0,4,0.0,3,4,0.75,3,1,0,0,1,17
23.898333333333333,3,4,0.75,1,1,1.0,0,0,0.0,2,5,0,2,1,7
22.55,2,5,0.4,0,3,0.0,2,4,0.5,2,1,1,2,1,6
24.618333333333332,0,6,0.0,0,4,0.0,0,0,0.0,6,2,1,4,0,0
21.15,0,3,0.0,0,2,0.0,1,2,0.5,6,3,0,1,1,1
28.216666666666665,0,1,0.0,0,0,0.0,0,0,0.0,6,5,1,0,0,0
27.061666666666667,3,7,0.429,1,3,0.333,0,0,0.0,3,3,1,0,0,7
29.06833333333333,5,8,0.625,1,3,0.333,0,0,0.0,6,3,0,0,0,11
19.35,0,2,0.0,0,2,0.0,0,0,0.0,4,1,2,0,0,0
