MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.033333333333335,3,7,0.429,2,3,0.667,0,0,0.0,6,1,1,1,0,8
24.333333333333332,2,9,0.222,0,3,0.0,2,2,1.0,6,3,1,1,1,6
24.966666666666665,7,11,0.636,5,9,0.556,0,0,0.0,6,1,0,0,0,19
27.893333333333334,4,9,0.444,2,5,0.4,1,1,1.0,4,2,1,0,0,11
27.366666666666667,5,9,0.556,2,4,0.5,2,3,0.667,4,0,2,2,1,14
21.616666666666667,2,7,0.286,0,1,0.0,0,0,0.0,6,1,2,0,0,4
20.383333333333333,0,2,0.0,0,2,0.0,0,0,0.0,2,0,0,0,0,0
25.733333333333334,0,5,0.0,0,3,0.0,0,2,0.0,4,1,1,2,0,0
31.083333333333332,6,17,0.353,2,8,0.25,3,4,0.75,3,3,0,2,2,17
21.02166666666667,4,7,0.571,0,1,0.0,0,0,0.0,6,0,0,1,1,8
18.755,3,9,0.333,1,5,0.2,0,0,0.0,3,0,2,0,0,7
12.946666666666667,1,2,0.5,0,0,0.0,2,2,1.0,3,0,2,1,0,4
13.06,2,5,0.4,0,1,0.0,0,0,0.0,2,0,0,1,0,4
32.32666666666667,8,14,0.571,0,4,0.0,0,0,0.0,3,0,0,0,0,16
23.583333333333332,4,8,0.5,1,3,0.333,0,0,0.0,3,1,1,0,1,9
28.981666666666666,4,8,0.5,0,1,0.0,1,2,0.5,5,2,0,0,1,9
23.955,5,8,0.625,3,4,0.75,1,1,1.0,6,2,1,0,1,14
15.4,0,4,0.0,0,2,0.0,0,0,0.0,2,2,2,1,0,0
27.883333333333333,4,7,0.571,1,3,0.333,0,0,0.0,5,2,1,0,0,9
