MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.966666666666665,10,17,0.588,3,6,0.5,4,5,0.8,3,5,2,2,1,27
33.766666666666666,11,20,0.55,4,6,0.667,4,6,0.667,4,5,4,1,2,30
35.65,7,17,0.412,3,11,0.273,0,0,0.0,7,9,3,3,0,17
34.25,5,16,0.313,3,9,0.333,0,0,0.0,2,4,5,0,0,13
34.005,3,12,0.25,0,5,0.0,0,0,0.0,5,10,3,1,0,6
25.516666666666666,6,12,0.5,2,6,0.333,9,10,0.9,7,4,2,1,0,23
36.833333333333336,11,27,0.407,7,14,0.5,1,1,1.0,2,8,2,1,0,30
34.06666666666667,8,15,0.533,3,6,0.5,7,7,1.0,5,4,2,1,0,26
27.383333333333333,5,10,0.5,2,6,0.333,3,3,1.0,1,5,2,0,0,15
34.66,10,24,0.417,3,11,0.273,4,6,0.667,4,6,4,0,1,27
38.06,14,28,0.5,7,13,0.538,2,3,0.667,4,8,3,1,2,37
36.00333333333333,4,16,0.25,2,8,0.25,5,6,0.833,5,3,1,1,2,15
34.2,13,27,0.481,3,9,0.333,1,1,1.0,8,5,3,1,0,30
44.78333333333333,13,26,0.5,3,9,0.333,4,5,0.8,8,7,3,4,3,33
27.083333333333332,7,19,0.368,4,12,0.333,3,3,1.0,3,0,2,1,0,21
37.48166666666667,12,17,0.706,3,7,0.429,3,4,0.75,6,3,2,3,0,30
33.995,10,20,0.5,4,10,0.4,2,2,1.0,2,5,5,1,1,26
31.783333333333335,4,17,0.235,1,10,0.1,6,6,1.0,3,3,2,2,0,15
36.13333333333333,11,22,0.5,5,10,0.5,4,5,0.8,5,5,2,2,1,31
