MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.45,13,21,0.619,2,5,0.4,9,10,0.9,9,2,4,1,1,37
13.566666666666666,2,8,0.25,0,3,0.0,0,0,0.0,4,2,1,0,2,4
34.666666666666664,8,19,0.421,0,3,0.0,4,4,1.0,6,1,1,1,6,20
36.6,4,14,0.286,2,6,0.333,8,10,0.8,4,3,2,1,3,18
28.833333333333332,5,13,0.385,1,4,0.25,2,4,0.5,7,2,3,1,0,13
36.86666666666667,7,21,0.333,0,4,0.0,9,12,0.75,7,0,2,1,1,23
34.11666666666667,5,12,0.417,1,3,0.333,6,7,0.857,8,1,2,1,1,17
26.766666666666666,7,20,0.35,2,8,0.25,11,12,0.917,5,0,2,1,1,27
22.1,3,16,0.188,2,6,0.333,0,0,0.0,2,2,1,0,1,8
29.316666666666666,3,15,0.2,0,3,0.0,6,6,1.0,4,1,3,1,1,12
23.35,7,13,0.538,0,2,0.0,0,0,0.0,4,2,2,0,0,14
33.04833333333333,9,18,0.5,2,8,0.25,8,10,0.8,4,2,1,0,1,28
36.86666666666667,11,18,0.611,1,4,0.25,4,6,0.667,7,2,2,1,1,27
37.7,11,17,0.647,5,8,0.625,3,6,0.5,10,3,4,1,3,30
26.2,5,17,0.294,1,8,0.125,8,8,1.0,8,2,2,0,1,19
33.915,10,20,0.5,3,6,0.5,7,9,0.778,9,4,1,0,2,30
31.133333333333333,4,12,0.333,2,4,0.5,6,6,1.0,5,2,1,1,1,16
28.45,9,12,0.75,2,2,1.0,1,2,0.5,9,2,0,0,3,21
35.71666666666667,2,9,0.222,0,5,0.0,4,4,1.0,5,3,3,0,5,8
