MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
19.883333333333333,2,5,0.4,0,2,0.0,2,2,1.0,4,0,2,1,1,6
17.745,0,2,0.0,0,1,0.0,1,2,0.5,3,1,0,0,0,1
29.033333333333335,0,6,0.0,0,4,0.0,0,0,0.0,11,2,0,0,2,0
26.333333333333332,1,3,0.333,0,0,0.0,0,0,0.0,5,3,1,1,1,2
23.1,2,5,0.4,1,4,0.25,0,0,0.0,3,2,1,1,1,5
18.133333333333333,2,4,0.5,2,3,0.667,0,0,0.0,3,6,0,1,0,6
21.405,2,6,0.333,2,4,0.5,0,0,0.0,1,2,0,2,0,6
10.6,1,2,0.5,0,0,0.0,0,0,0.0,1,0,0,0,1,2
17.516666666666666,3,6,0.5,1,2,0.5,0,0,0.0,7,2,0,0,0,7
19.2,1,2,0.5,1,2,0.5,0,0,0.0,4,1,0,0,0,3
21.935,2,4,0.5,1,3,0.333,0,0,0.0,9,1,1,2,2,5
30.35,1,2,0.5,0,1,0.0,0,0,0.0,6,2,0,1,2,2
