MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.483333333333334,5,12,0.417,3,7,0.429,4,4,1.0,3,7,5,0,0,17
24.9,3,9,0.333,0,4,0.0,2,2,1.0,1,2,1,0,1,8
32.1,4,14,0.286,0,3,0.0,3,4,0.75,4,7,3,2,0,11
29.376666666666665,4,9,0.444,2,5,0.4,0,0,0.0,2,5,3,2,0,10
39.498333333333335,4,12,0.333,0,5,0.0,0,0,0.0,3,4,5,1,0,8
28.0,4,11,0.364,1,7,0.143,2,2,1.0,2,6,5,4,0,11
35.39833333333333,9,17,0.529,5,10,0.5,0,0,0.0,5,9,6,3,0,23
32.18333333333333,4,8,0.5,1,5,0.2,0,0,0.0,4,6,2,2,2,9
30.833333333333332,7,13,0.538,3,7,0.429,3,3,1.0,2,5,2,5,0,20
32.10333333333333,6,11,0.545,2,6,0.333,3,6,0.5,0,3,5,2,0,17
