MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.166666666666668,4,13,0.308,0,0,0.0,2,2,1.0,17,4,2,1,3,10
22.893333333333334,6,9,0.667,0,0,0.0,0,0,0.0,9,1,2,0,1,12
22.4,6,10,0.6,0,0,0.0,2,2,1.0,9,0,2,2,2,14
20.983333333333334,1,5,0.2,0,0,0.0,2,6,0.333,8,1,1,1,2,4
18.4,6,14,0.429,0,0,0.0,0,2,0.0,11,1,0,0,0,12
27.42,7,8,0.875,0,0,0.0,0,0,0.0,15,0,0,0,3,14
18.783333333333335,6,9,0.667,0,0,0.0,2,3,0.667,5,1,1,0,2,14
28.643333333333334,7,11,0.636,0,0,0.0,3,5,0.6,11,2,0,1,1,17
26.405,4,5,0.8,0,0,0.0,0,2,0.0,3,1,0,2,2,8
26.633333333333333,3,4,0.75,0,0,0.0,2,2,1.0,8,1,3,2,3,8
23.933333333333334,4,6,0.667,0,0,0.0,0,0,0.0,12,0,0,1,2,8
26.116666666666667,2,4,0.5,0,0,0.0,2,4,0.5,11,4,0,0,1,6
21.45,2,5,0.4,0,0,0.0,2,4,0.5,12,0,1,1,2,6
28.366666666666667,8,9,0.889,0,0,0.0,1,2,0.5,7,0,0,0,2,17
20.6,4,6,0.667,0,0,0.0,2,2,1.0,11,0,0,1,0,10
22.566666666666666,0,3,0.0,0,0,0.0,2,2,1.0,5,1,1,0,5,2
23.033333333333335,5,10,0.5,0,0,0.0,2,2,1.0,12,1,0,1,0,12
28.116666666666667,6,12,0.5,0,0,0.0,1,2,0.5,13,2,1,0,1,13
28.638333333333332,6,10,0.6,0,0,0.0,3,4,0.75,13,0,2,1,0,15
