MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.833333333333332,3,10,0.3,0,2,0.0,6,6,1.0,1,0,2,2,0,12
21.7,3,8,0.375,2,4,0.5,4,4,1.0,6,2,3,1,0,12
26.416666666666668,5,12,0.417,1,6,0.167,7,7,1.0,4,2,0,0,0,18
39.71,7,14,0.5,5,11,0.455,5,5,1.0,4,2,2,1,1,24
31.083333333333332,7,11,0.636,3,5,0.6,3,3,1.0,4,0,2,2,0,20
39.06666666666667,8,16,0.5,2,7,0.286,7,7,1.0,11,0,1,1,2,25
26.9,3,7,0.429,1,2,0.5,0,0,0.0,4,1,3,1,0,7
17.916666666666668,4,7,0.571,1,2,0.5,0,0,0.0,1,0,0,0,0,9
26.446666666666665,2,7,0.286,1,3,0.333,0,0,0.0,2,1,1,0,0,5
34.68333333333333,6,14,0.429,2,5,0.4,2,3,0.667,5,5,1,1,0,16
35.583333333333336,4,11,0.364,0,4,0.0,2,2,1.0,5,2,3,1,1,10
26.316666666666666,3,9,0.333,2,5,0.4,4,5,0.8,0,1,2,1,1,12
32.96666666666667,2,13,0.154,1,7,0.143,3,4,0.75,2,0,0,0,0,8
29.783333333333335,1,3,0.333,1,2,0.5,1,2,0.5,5,1,2,0,1,4
32.63333333333333,8,16,0.5,2,7,0.286,5,6,0.833,7,3,5,2,0,23
30.35,6,10,0.6,3,5,0.6,1,2,0.5,4,2,0,1,0,16
24.266666666666666,6,10,0.6,2,4,0.5,1,1,1.0,3,1,2,4,0,15
32.25,8,13,0.615,3,7,0.429,8,8,1.0,6,1,0,0,1,27
30.995,4,9,0.444,1,4,0.25,0,1,0.0,4,1,0,0,0,9
