MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
34.0,12,19,0.632,4,6,0.667,2,2,1.0,2,3,2,2,0,30
34.766666666666666,10,21,0.476,2,4,0.5,2,2,1.0,3,2,0,5,0,24
31.05,5,14,0.357,3,7,0.429,0,0,0.0,3,1,3,2,1,13
34.2,2,13,0.154,0,6,0.0,2,2,1.0,4,3,3,0,0,6
26.716666666666665,4,14,0.286,1,6,0.167,2,2,1.0,5,10,0,4,0,11
39.34,6,21,0.286,3,8,0.375,5,5,1.0,6,8,1,2,0,20
34.25,11,19,0.579,4,6,0.667,2,2,1.0,3,5,5,2,0,28
35.13333333333333,5,16,0.313,3,7,0.429,0,0,0.0,1,3,3,1,0,13
32.45,6,12,0.5,0,3,0.0,1,3,0.333,5,2,1,1,0,13
37.483333333333334,11,21,0.524,1,4,0.25,9,9,1.0,5,10,2,3,0,32
35.583333333333336,9,16,0.563,5,9,0.556,0,1,0.0,5,5,3,3,1,23
33.06666666666667,6,15,0.4,3,7,0.429,1,2,0.5,3,2,4,2,0,16
32.96666666666667,7,16,0.438,6,9,0.667,9,10,0.9,4,6,3,1,0,29
37.2,8,20,0.4,2,9,0.222,2,2,1.0,8,7,3,0,0,20
33.983333333333334,10,15,0.667,3,5,0.6,1,2,0.5,4,8,4,1,1,24
39.36666666666667,17,24,0.708,3,5,0.6,4,4,1.0,7,5,3,2,0,41
29.733333333333334,6,12,0.5,1,5,0.2,2,2,1.0,1,5,3,2,1,15
34.75,8,17,0.471,0,3,0.0,2,3,0.667,7,6,1,1,1,18
32.733333333333334,3,14,0.214,0,3,0.0,5,6,0.833,2,6,1,0,0,11
