MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
40.001666666666665,3,7,0.429,1,2,0.5,0,0,0.0,6,3,5,2,1,7
33.18333333333333,6,12,0.5,0,2,0.0,5,5,1.0,7,6,1,2,1,17
36.333333333333336,7,12,0.583,0,2,0.0,4,4,1.0,10,2,0,1,3,18
31.001666666666665,7,9,0.778,4,4,1.0,0,0,0.0,5,0,3,0,2,18
35.583333333333336,6,9,0.667,2,2,1.0,2,2,1.0,5,1,2,1,1,16
21.7,4,8,0.5,1,3,0.333,0,0,0.0,4,2,3,0,0,9
30.788333333333334,7,9,0.778,2,4,0.5,3,4,0.75,9,2,3,0,1,19
33.95,6,15,0.4,0,4,0.0,1,2,0.5,12,5,0,3,1,13
35.733333333333334,8,13,0.615,2,3,0.667,3,4,0.75,11,4,1,0,0,21
23.75,3,7,0.429,0,2,0.0,2,2,1.0,11,2,5,0,0,8
33.1,5,7,0.714,1,2,0.5,1,1,1.0,5,3,2,1,1,12
25.7,6,10,0.6,2,3,0.667,0,0,0.0,7,1,2,2,1,14
29.816666666666666,5,8,0.625,0,2,0.0,1,3,0.333,9,2,3,1,1,11
29.401666666666667,9,13,0.692,1,3,0.333,2,4,0.5,7,2,0,2,1,21
