MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
27.066666666666666,2,4,0.5,0,2,0.0,1,3,0.333,4,3,0,0,0,5
28.073333333333334,3,6,0.5,1,3,0.333,4,5,0.8,8,0,1,0,0,11
21.7,4,8,0.5,1,1,1.0,4,5,0.8,9,2,0,0,0,13
27.016666666666666,2,2,1.0,0,0,0.0,0,0,0.0,3,0,0,2,1,4
24.683333333333334,3,6,0.5,0,1,0.0,3,4,0.75,6,1,0,1,1,9
25.415,6,10,0.6,0,2,0.0,0,0,0.0,10,0,0,0,1,12
22.333333333333332,3,7,0.429,0,2,0.0,1,1,1.0,6,4,1,0,1,7
19.366666666666667,2,6,0.333,1,2,0.5,0,0,0.0,5,0,1,0,0,5
21.581666666666667,2,4,0.5,0,0,0.0,4,4,1.0,6,1,4,1,1,8
21.366666666666667,4,4,1.0,0,0,0.0,0,0,0.0,9,2,2,0,1,8
24.066666666666666,0,3,0.0,0,0,0.0,2,2,1.0,7,2,0,0,2,2
20.616666666666667,3,4,0.75,0,1,0.0,1,2,0.5,2,2,1,3,4,7
25.233333333333334,3,8,0.375,0,1,0.0,1,1,1.0,14,0,2,0,0,7
19.633333333333333,4,6,0.667,2,3,0.667,7,8,0.875,6,0,0,1,1,17
27.4,6,8,0.75,0,1,0.0,4,4,1.0,11,2,1,0,1,16
24.25,3,3,1.0,0,0,0.0,4,4,1.0,7,3,0,0,0,10
22.633333333333333,7,11,0.636,0,2,0.0,0,0,0.0,7,2,1,1,0,14
20.003333333333334,1,2,0.5,0,0,0.0,4,4,1.0,2,1,0,1,1,6
19.333333333333332,3,5,0.6,0,0,0.0,1,1,1.0,4,2,1,0,0,7
