MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.31666666666667,5,7,0.714,4,6,0.667,3,4,0.75,9,1,0,0,0,17
33.96666666666667,5,8,0.625,3,4,0.75,0,0,0.0,4,0,1,3,0,13
32.083333333333336,5,8,0.625,2,4,0.5,2,2,1.0,4,3,0,2,0,14
28.866666666666667,3,7,0.429,1,5,0.2,0,0,0.0,8,1,0,0,0,7
31.933333333333334,6,14,0.429,0,4,0.0,1,2,0.5,9,1,1,1,0,13
24.913333333333334,4,8,0.5,1,3,0.333,3,3,1.0,2,1,2,2,0,12
30.85,4,7,0.571,2,4,0.5,2,5,0.4,10,2,0,0,0,12
31.35,6,9,0.667,2,4,0.5,3,4,0.75,7,1,2,1,0,17
28.43,7,10,0.7,2,5,0.4,0,0,0.0,2,2,2,2,0,16
27.388333333333332,6,13,0.462,2,7,0.286,5,6,0.833,4,2,1,2,1,19
24.416666666666668,3,9,0.333,2,7,0.286,0,0,0.0,8,0,4,0,0,8
28.65,1,4,0.25,0,0,0.0,0,0,0.0,3,0,1,1,0,2
26.283333333333335,6,11,0.545,3,6,0.5,0,0,0.0,8,2,2,0,0,15
26.066666666666666,5,13,0.385,2,7,0.286,0,0,0.0,5,2,0,1,0,12
31.65,4,10,0.4,2,7,0.286,4,4,1.0,7,0,1,1,0,14
25.166666666666668,4,5,0.8,3,3,1.0,0,0,0.0,6,1,1,0,1,11
30.983333333333334,4,9,0.444,1,3,0.333,4,5,0.8,9,3,1,0,0,13
25.716666666666665,2,4,0.5,1,2,0.5,0,0,0.0,1,1,1,0,1,5
28.843333333333334,6,12,0.5,1,4,0.25,2,2,1.0,5,0,2,5,0,15
