MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.733333333333334,13,28,0.464,5,13,0.385,1,2,0.5,2,12,4,2,0,32
39.95,15,29,0.517,2,9,0.222,13,16,0.813,4,14,2,2,0,45
32.266666666666666,3,14,0.214,2,8,0.25,5,6,0.833,1,10,3,1,0,13
37.266666666666666,12,27,0.444,6,16,0.375,3,6,0.5,5,7,5,0,0,33
30.366666666666667,9,17,0.529,5,8,0.625,3,3,1.0,6,10,2,2,0,26
39.96666666666667,12,31,0.387,8,16,0.5,11,13,0.846,4,9,4,2,0,43
38.81666666666667,13,17,0.765,5,8,0.625,7,8,0.875,1,8,3,3,0,38
36.973333333333336,5,14,0.357,2,6,0.333,10,10,1.0,2,13,4,1,0,22
34.46666666666667,4,12,0.333,0,4,0.0,7,9,0.778,1,17,3,2,0,15
38.45,7,19,0.368,3,9,0.333,10,11,0.909,2,11,5,1,0,27
34.3,12,27,0.444,5,15,0.333,12,13,0.923,4,8,3,3,0,41
36.416666666666664,5,18,0.278,1,5,0.2,11,11,1.0,4,11,7,1,0,22
38.733333333333334,7,15,0.467,3,7,0.429,5,6,0.833,5,12,5,1,0,22
35.266666666666666,7,18,0.389,1,3,0.333,8,9,0.889,3,10,3,2,0,23
35.0,9,22,0.409,1,7,0.143,5,5,1.0,1,8,1,1,0,24
32.03333333333333,5,14,0.357,3,8,0.375,7,9,0.778,3,11,3,1,0,20
35.29666666666667,4,16,0.25,2,5,0.4,8,10,0.8,3,12,6,3,0,18
36.016666666666666,4,19,0.211,1,9,0.111,14,15,0.933,1,9,5,1,0,23
