MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.25666666666667,8,15,0.533,2,4,0.5,0,0,0.0,2,3,3,1,0,18
25.05,5,9,0.556,0,2,0.0,4,6,0.667,5,3,4,1,0,14
25.946666666666665,6,11,0.545,2,3,0.667,0,0,0.0,1,1,0,1,0,14
30.55,9,18,0.5,1,4,0.25,3,3,1.0,7,3,2,0,0,22
17.766666666666666,1,5,0.2,0,3,0.0,0,0,0.0,3,1,0,1,0,2
26.4,5,12,0.417,2,5,0.4,2,2,1.0,3,1,1,3,0,14
21.433333333333334,1,6,0.167,0,3,0.0,0,0,0.0,4,2,0,1,0,2
15.2,2,9,0.222,1,4,0.25,0,0,0.0,2,0,1,1,0,5
12.27,2,4,0.5,2,3,0.667,0,0,0.0,1,2,1,0,0,6
19.508333333333333,1,7,0.143,0,3,0.0,0,0,0.0,3,1,0,1,0,2
