MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.06333333333333,12,23,0.522,0,1,0.0,9,9,1.0,5,5,1,0,0,33
37.961666666666666,9,19,0.474,0,1,0.0,18,20,0.9,11,3,3,0,0,36
36.7,7,14,0.5,3,5,0.6,6,6,1.0,2,3,2,1,0,23
27.8,3,12,0.25,1,5,0.2,3,4,0.75,4,9,1,2,2,10
29.253333333333334,4,11,0.364,0,2,0.0,8,9,0.889,3,6,1,1,0,16
33.45,8,16,0.5,2,6,0.333,7,7,1.0,3,2,2,1,0,25
34.56666666666667,12,19,0.632,2,5,0.4,10,11,0.909,5,3,4,1,3,36
34.045,10,14,0.714,1,1,1.0,11,14,0.786,4,5,3,2,0,32
36.526666666666664,5,14,0.357,1,3,0.333,8,9,0.889,6,4,2,0,1,19
34.61833333333333,5,13,0.385,2,4,0.5,3,3,1.0,3,2,1,2,0,15
36.56666666666667,9,15,0.6,3,4,0.75,7,7,1.0,4,6,3,2,0,28
31.386666666666667,7,11,0.636,1,2,0.5,5,6,0.833,7,2,2,3,0,20
34.1,7,16,0.438,0,2,0.0,6,8,0.75,7,3,1,1,0,20
28.716666666666665,4,11,0.364,1,2,0.5,4,4,1.0,4,4,1,0,1,13
33.68333333333333,3,11,0.273,0,0,0.0,8,9,0.889,5,3,1,1,1,14
34.46666666666667,6,18,0.333,0,0,0.0,7,9,0.778,13,4,0,2,0,19
