MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
23.766666666666666,6,9,0.667,2,4,0.5,2,2,1.0,2,3,2,0,1,16
31.703333333333333,8,11,0.727,0,2,0.0,3,4,0.75,4,3,2,0,0,19
36.57833333333333,7,13,0.538,3,7,0.429,3,4,0.75,3,7,0,0,0,20
36.68333333333333,4,11,0.364,0,5,0.0,3,3,1.0,5,5,2,0,1,11
34.245,5,10,0.5,2,4,0.5,3,3,1.0,2,2,2,2,0,15
27.15,5,9,0.556,2,4,0.5,2,2,1.0,1,5,0,2,0,14
29.75,4,12,0.333,2,6,0.333,0,0,0.0,4,1,3,0,1,10
25.56,3,6,0.5,1,4,0.25,0,0,0.0,1,2,0,1,0,7
25.85,3,7,0.429,1,5,0.2,1,1,1.0,2,3,0,2,0,8
33.016666666666666,2,10,0.2,0,6,0.0,2,2,1.0,5,6,1,1,1,6
26.133333333333333,4,7,0.571,2,4,0.5,2,2,1.0,3,4,0,1,0,12
22.75,6,7,0.857,3,4,0.75,1,1,1.0,2,0,1,0,0,16
16.8,1,9,0.111,0,5,0.0,0,0,0.0,0,2,4,0,1,2
21.266666666666666,1,2,0.5,1,2,0.5,0,0,0.0,2,0,1,0,0,3
25.545,4,6,0.667,1,2,0.5,1,1,1.0,3,5,2,0,0,10
30.298333333333332,1,9,0.111,1,5,0.2,1,2,0.5,3,3,0,1,0,4
23.033333333333335,3,7,0.429,0,2,0.0,0,0,0.0,3,2,0,0,0,6
