MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
18.835,4,6,0.667,3,5,0.6,3,3,1.0,1,5,0,0,0,14
17.46,1,1,1.0,0,0,0.0,3,4,0.75,8,6,0,1,0,5
25.933333333333334,2,11,0.182,2,5,0.4,0,0,0.0,10,4,0,0,0,6
16.933333333333334,3,4,0.75,0,0,0.0,2,2,1.0,10,2,1,0,0,8
18.29,2,7,0.286,1,6,0.167,2,2,1.0,6,1,2,0,0,7
15.063333333333333,4,6,0.667,3,5,0.6,0,0,0.0,8,1,1,0,0,11
12.083333333333334,2,7,0.286,1,6,0.167,0,2,0.0,6,2,0,0,0,5
15.638333333333334,2,4,0.5,1,3,0.333,2,2,1.0,9,4,0,0,0,7
13.891666666666667,0,5,0.0,0,5,0.0,3,4,0.75,3,1,0,0,0,3
14.166666666666666,3,8,0.375,2,7,0.286,4,4,1.0,2,0,0,0,0,12
13.63,2,4,0.5,1,3,0.333,2,2,1.0,4,2,1,0,0,7
17.916666666666668,1,6,0.167,1,5,0.2,0,0,0.0,5,3,2,0,0,3
20.533333333333335,3,7,0.429,2,4,0.5,1,2,0.5,9,2,0,1,0,9
27.725,4,9,0.444,3,6,0.5,2,2,1.0,10,2,1,0,0,13
