MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
28.583333333333332,0,4,0.0,0,3,0.0,4,4,1.0,8,2,0,0,0,4
25.466666666666665,6,10,0.6,3,6,0.5,0,0,0.0,3,3,0,0,1,15
33.7,7,10,0.7,3,5,0.6,4,4,1.0,4,6,1,1,1,21
29.583333333333332,3,10,0.3,2,7,0.286,1,2,0.5,3,4,3,2,0,9
33.36666666666667,4,9,0.444,2,5,0.4,0,0,0.0,8,2,1,2,0,10
29.113333333333333,9,15,0.6,7,10,0.7,3,4,0.75,1,3,0,0,0,28
26.566666666666666,3,6,0.5,2,4,0.5,0,0,0.0,5,6,1,0,0,8
31.683333333333334,3,10,0.3,2,7,0.286,0,0,0.0,3,5,1,3,0,8
24.416666666666668,1,4,0.25,1,1,1.0,0,0,0.0,3,3,0,3,0,3
14.708333333333334,0,1,0.0,0,1,0.0,0,0,0.0,1,2,0,0,0,0
33.43333333333333,4,8,0.5,4,6,0.667,5,5,1.0,2,4,3,1,0,17
34.71666666666667,5,11,0.455,4,7,0.571,3,3,1.0,11,9,4,1,0,17
32.68333333333333,2,6,0.333,1,5,0.2,0,0,0.0,4,5,0,1,0,5
25.55,1,4,0.25,1,4,0.25,0,0,0.0,3,7,2,2,0,3
29.65,2,5,0.4,2,5,0.4,0,0,0.0,3,3,2,2,1,6
27.8,3,6,0.5,2,5,0.4,0,0,0.0,4,4,2,2,0,8
32.36666666666667,1,6,0.167,1,5,0.2,0,0,0.0,4,7,4,1,0,3
31.816666666666666,5,7,0.714,3,4,0.75,0,0,0.0,8,5,1,0,1,13
31.866666666666667,0,1,0.0,0,0,0.0,0,0,0.0,2,2,0,2,1,0
