MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.343333333333334,5,13,0.385,2,4,0.5,2,2,1.0,5,3,2,0,2,14
36.208333333333336,7,18,0.389,4,8,0.5,0,0,0.0,3,2,3,1,0,18
32.71,7,11,0.636,2,3,0.667,4,5,0.8,5,1,2,1,0,20
31.483333333333334,6,12,0.5,3,6,0.5,0,0,0.0,0,3,0,1,0,15
39.766666666666666,4,12,0.333,1,4,0.25,0,0,0.0,7,4,2,2,1,9
33.74666666666667,10,15,0.667,5,7,0.714,4,4,1.0,3,2,2,0,0,29
27.466666666666665,5,12,0.417,0,3,0.0,0,1,0.0,4,3,1,1,0,10
31.583333333333332,5,16,0.313,0,6,0.0,2,2,1.0,3,2,1,1,2,12
30.0,5,11,0.455,1,2,0.5,2,3,0.667,5,2,2,1,0,13
35.86666666666667,3,12,0.25,0,5,0.0,1,2,0.5,1,1,0,1,0,7
33.833333333333336,4,7,0.571,0,2,0.0,2,2,1.0,3,1,0,0,1,10
23.933333333333334,4,9,0.444,1,3,0.333,1,2,0.5,5,2,1,0,0,10
36.12,7,16,0.438,2,5,0.4,6,6,1.0,9,2,0,0,1,22
33.416666666666664,6,13,0.462,2,4,0.5,3,4,0.75,6,2,3,1,1,17
24.611666666666668,5,9,0.556,3,7,0.429,0,0,0.0,3,2,1,0,0,13
