MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
31.283333333333335,7,11,0.636,1,2,0.5,2,2,1.0,1,3,2,2,0,17
31.783333333333335,8,14,0.571,2,4,0.5,4,4,1.0,6,6,2,0,0,22
27.85,2,7,0.286,0,2,0.0,0,0,0.0,6,6,2,0,0,4
32.78333333333333,4,11,0.364,2,4,0.5,0,2,0.0,5,2,3,0,1,10
29.916666666666668,2,8,0.25,0,1,0.0,0,0,0.0,9,6,3,0,0,4
39.18333333333333,6,15,0.4,1,2,0.5,7,8,0.875,5,4,2,1,1,20
32.333333333333336,1,7,0.143,0,2,0.0,2,2,1.0,3,4,0,2,0,4
28.75,1,9,0.111,0,3,0.0,0,0,0.0,4,0,0,0,0,2
29.1,3,9,0.333,0,1,0.0,0,0,0.0,1,2,2,0,0,6
36.016666666666666,10,20,0.5,1,4,0.25,6,8,0.75,5,9,0,4,1,27
32.3,6,14,0.429,2,4,0.5,4,6,0.667,7,4,3,3,0,18
33.78333333333333,9,23,0.391,1,4,0.25,1,4,0.25,4,8,1,1,0,20
33.916666666666664,10,17,0.588,1,2,0.5,2,2,1.0,6,3,1,0,2,23
30.866666666666667,6,11,0.545,0,1,0.0,5,7,0.714,7,5,1,1,1,17
31.266666666666666,6,11,0.545,2,2,1.0,1,1,1.0,0,5,0,2,1,15
33.86666666666667,6,15,0.4,2,4,0.5,5,6,0.833,9,4,3,3,0,19
33.333333333333336,4,8,0.5,0,1,0.0,2,3,0.667,8,7,6,1,1,10
