MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.616666666666667,3,6,0.5,1,3,0.333,0,0,0.0,1,2,1,0,0,7
39.81666666666667,13,31,0.419,6,16,0.375,2,3,0.667,8,13,4,1,0,34
41.361666666666665,15,27,0.556,5,11,0.455,1,1,1.0,9,8,5,2,1,36
35.736666666666665,12,22,0.545,8,13,0.615,2,2,1.0,5,9,3,1,0,34
34.983333333333334,12,28,0.429,2,9,0.222,11,12,0.917,5,5,6,1,0,37
39.11666666666667,9,26,0.346,4,10,0.4,6,6,1.0,6,11,8,3,0,28
32.56666666666667,13,20,0.65,4,8,0.5,2,2,1.0,7,6,2,1,1,32
37.733333333333334,9,19,0.474,4,8,0.5,3,4,0.75,6,6,2,2,0,25
36.2,13,22,0.591,3,9,0.333,5,7,0.714,4,7,6,1,0,34
39.07,11,23,0.478,5,10,0.5,3,3,1.0,10,13,3,1,1,30
30.983333333333334,4,15,0.267,2,7,0.286,1,1,1.0,2,11,6,2,0,11
33.416666666666664,7,15,0.467,2,6,0.333,3,4,0.75,1,5,3,1,0,19
21.75,3,12,0.25,0,6,0.0,2,2,1.0,3,8,3,2,0,8
33.06666666666667,4,17,0.235,2,7,0.286,10,12,0.833,9,9,4,2,1,20
30.783333333333335,4,15,0.267,4,11,0.364,3,4,0.75,6,10,3,1,0,15
