MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.983333333333334,2,2,1.0,0,0,0.0,6,6,1.0,12,1,3,1,0,10
22.183333333333334,7,9,0.778,0,0,0.0,2,2,1.0,4,0,2,0,0,16
18.233333333333334,5,5,1.0,0,0,0.0,5,8,0.625,7,0,1,1,1,15
15.545,2,3,0.667,0,0,0.0,3,4,0.75,6,0,0,0,0,7
20.716666666666665,6,7,0.857,0,0,0.0,0,0,0.0,9,1,0,0,1,12
17.938333333333333,4,4,1.0,0,0,0.0,2,2,1.0,10,0,1,0,2,10
18.716666666666665,3,6,0.5,0,0,0.0,4,4,1.0,8,0,1,0,4,10
12.588333333333333,1,1,1.0,0,0,0.0,2,2,1.0,2,1,1,1,2,4
16.316666666666666,0,1,0.0,0,0,0.0,0,2,0.0,2,0,2,1,2,0
18.05,2,2,1.0,0,0,0.0,3,4,0.75,4,1,2,0,1,7
