MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.266666666666666,6,14,0.429,1,4,0.25,4,4,1.0,9,3,2,1,3,17
28.341666666666665,3,12,0.25,1,4,0.25,2,2,1.0,12,0,4,0,0,9
29.3,7,14,0.5,3,5,0.6,0,2,0.0,4,1,1,1,0,17
29.366666666666667,4,10,0.4,2,6,0.333,2,3,0.667,3,0,1,0,0,12
23.483333333333334,5,11,0.455,0,2,0.0,2,2,1.0,9,0,3,0,0,12
32.233333333333334,6,12,0.5,0,1,0.0,0,0,0.0,11,1,0,0,0,12
24.983333333333334,6,12,0.5,2,5,0.4,1,2,0.5,4,1,1,1,1,15
43.40833333333333,5,14,0.357,3,5,0.6,2,2,1.0,12,0,1,2,1,15
34.968333333333334,5,10,0.5,1,2,0.5,4,6,0.667,14,1,0,0,2,15
32.21,6,16,0.375,2,5,0.4,0,0,0.0,10,2,1,1,3,14
37.888333333333335,5,6,0.833,3,3,1.0,5,7,0.714,3,0,3,0,4,18
27.466666666666665,6,9,0.667,1,2,0.5,1,1,1.0,9,1,2,0,0,14
28.666666666666668,6,9,0.667,1,2,0.5,1,1,1.0,6,0,2,1,0,14
28.55,5,10,0.5,1,5,0.2,3,4,0.75,6,0,2,1,1,14
33.233333333333334,7,10,0.7,3,4,0.75,3,4,0.75,10,0,2,0,1,20
27.483333333333334,5,12,0.417,2,5,0.4,4,6,0.667,4,2,1,2,0,16
34.016666666666666,7,16,0.438,1,3,0.333,0,3,0.0,9,1,0,1,0,15
28.033333333333335,5,9,0.556,1,3,0.333,0,0,0.0,10,3,1,0,0,11
34.25,4,11,0.364,1,5,0.2,4,4,1.0,12,0,0,0,1,13
30.933333333333334,6,11,0.545,1,3,0.333,2,2,1.0,11,2,0,1,0,15
