MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
27.183333333333334,4,10,0.4,2,5,0.4,2,3,0.667,3,5,4,0,0,12
31.555,4,16,0.25,2,9,0.222,6,6,1.0,4,10,1,0,0,16
32.233333333333334,5,11,0.455,2,4,0.5,1,2,0.5,2,5,7,0,0,13
24.2,3,9,0.333,0,3,0.0,1,1,1.0,0,2,2,1,0,7
38.916666666666664,8,23,0.348,1,6,0.167,5,7,0.714,7,5,2,2,0,22
35.595,14,26,0.538,5,10,0.5,4,4,1.0,3,5,0,1,0,37
33.26,13,19,0.684,4,9,0.444,0,0,0.0,1,3,1,2,0,30
35.8,9,16,0.563,2,5,0.4,6,6,1.0,4,4,3,2,1,26
33.93333333333333,12,26,0.462,1,3,0.333,8,8,1.0,3,5,6,1,1,33
29.098333333333333,3,14,0.214,1,8,0.125,0,0,0.0,1,6,5,0,0,7
31.975,5,14,0.357,0,5,0.0,0,0,0.0,3,3,0,0,0,10
37.016666666666666,5,20,0.25,2,8,0.25,9,9,1.0,6,6,6,1,0,21
25.866666666666667,8,13,0.615,4,6,0.667,0,0,0.0,6,5,3,2,0,20
33.55,2,10,0.2,0,4,0.0,0,3,0.0,3,6,5,1,0,4
21.655,3,10,0.3,0,3,0.0,1,1,1.0,2,2,5,0,0,7
33.71666666666667,4,13,0.308,3,5,0.6,2,3,0.667,4,6,2,1,0,13
30.733333333333334,8,16,0.5,2,5,0.4,6,8,0.75,4,6,2,0,0,24
