MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.158333333333333,3,5,0.6,2,2,1.0,0,0,0.0,4,3,2,0,0,8
17.65,2,2,1.0,1,1,1.0,0,0,0.0,2,2,1,2,0,5
18.633333333333333,0,1,0.0,0,0,0.0,4,4,1.0,4,4,0,0,0,4
24.421666666666667,4,6,0.667,3,3,1.0,2,2,1.0,6,3,3,1,1,13
32.233333333333334,5,5,1.0,0,0,0.0,3,3,1.0,9,5,3,1,1,13
24.366666666666667,1,6,0.167,0,4,0.0,2,4,0.5,5,5,2,0,0,4
20.25,1,4,0.25,0,2,0.0,4,4,1.0,5,5,4,0,0,6
19.91,3,4,0.75,1,2,0.5,0,0,0.0,4,7,1,0,0,7
23.883333333333333,4,8,0.5,2,3,0.667,2,2,1.0,12,3,3,1,0,12
20.811666666666667,2,3,0.667,0,0,0.0,2,2,1.0,8,2,2,1,1,6
20.618333333333332,2,4,0.5,0,2,0.0,0,0,0.0,5,0,2,1,0,4
23.316666666666666,5,7,0.714,2,3,0.667,1,1,1.0,7,8,1,0,0,13
17.846666666666668,0,4,0.0,0,2,0.0,0,0,0.0,4,1,2,0,0,0
18.616666666666667,2,4,0.5,0,1,0.0,0,0,0.0,2,3,2,3,0,4
25.916666666666668,5,7,0.714,3,4,0.75,1,2,0.5,8,5,3,1,0,14
18.2,0,2,0.0,0,2,0.0,3,4,0.75,4,5,1,3,0,3
15.616666666666667,4,5,0.8,0,1,0.0,1,1,1.0,6,3,1,0,0,9
26.733333333333334,5,6,0.833,2,2,1.0,3,3,1.0,4,3,3,1,1,15
16.65,2,3,0.667,0,0,0.0,1,1,1.0,6,4,1,1,0,5
