MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.63333333333333,7,17,0.412,1,8,0.125,6,10,0.6,6,6,4,0,0,21
32.766666666666666,4,19,0.211,1,6,0.167,3,3,1.0,4,4,2,0,0,12
23.683333333333334,2,6,0.333,2,4,0.5,2,2,1.0,3,2,2,0,0,8
31.116666666666667,6,14,0.429,3,8,0.375,4,6,0.667,5,3,2,2,0,19
27.033333333333335,4,13,0.308,4,9,0.444,3,5,0.6,6,5,5,0,0,15
33.65,3,9,0.333,3,6,0.5,7,7,1.0,3,7,0,1,0,16
21.333333333333332,3,11,0.273,1,5,0.2,2,2,1.0,3,2,2,1,0,9
34.016666666666666,2,12,0.167,0,5,0.0,3,4,0.75,5,11,5,1,0,7
28.966666666666665,5,11,0.455,3,6,0.5,2,3,0.667,3,6,3,1,0,15
26.326666666666668,4,9,0.444,2,7,0.286,5,5,1.0,4,7,2,1,0,15
29.533333333333335,2,12,0.167,1,6,0.167,2,2,1.0,3,11,2,0,1,7
30.866666666666667,3,8,0.375,1,3,0.333,0,0,0.0,2,9,1,0,0,7
20.616666666666667,2,5,0.4,1,3,0.333,0,0,0.0,2,4,2,0,0,5
27.233333333333334,3,6,0.5,1,4,0.25,1,2,0.5,0,4,3,0,0,8
16.721666666666668,1,2,0.5,1,1,1.0,3,5,0.6,2,3,2,0,0,6
23.433333333333334,4,8,0.5,1,4,0.25,0,0,0.0,1,3,3,1,1,9
19.966666666666665,1,6,0.167,1,4,0.25,0,0,0.0,1,2,0,1,0,3
27.033333333333335,4,12,0.333,2,8,0.25,2,2,1.0,7,6,2,1,0,12
12.0,3,5,0.6,2,3,0.667,0,0,0.0,3,2,1,0,0,8
18.883333333333333,3,5,0.6,1,3,0.333,1,1,1.0,2,2,1,0,0,8
